year,month,tavg,tmin,tmax
1882.00,10.00,15.30,9.00,21.40
1882.00,11.00,10.40,4.70,16.70
1882.00,0.00,3.80,-0.70,8.90
1882.00,1.00,4.30,-0.30,9.20
1882.00,2.00,4.40,0.40,8.40
1882.00,3.00,5.50,-0.80,11.80
1882.00,4.00,13.00,6.40,18.80
1882.00,5.00,16.50,9.20,22.10
1882.00,6.00,20.40,15.50,25.10
1882.00,7.00,25.10,20.60,29.80
1882.00,8.00,25.50,20.80,30.10
1882.00,9.00,21.60,16.20,27.00
1883.00,10.00,16.60,10.60,22.20
1883.00,11.00,9.30,3.30,15.30
1883.00,0.00,2.90,-3.10,9.50
1883.00,1.00,2.30,-2.60,7.60
1883.00,2.00,3.10,-1.50,7.90
1883.00,3.00,5.60,-0.30,11.30
1883.00,4.00,11.60,5.50,17.20
1883.00,5.00,16.10,10.10,21.70
1883.00,6.00,21.10,15.30,26.70
1883.00,7.00,25.90,20.40,31.40
1883.00,8.00,26.80,20.70,33.20
1883.00,9.00,22.70,17.20,28.80
1884.00,10.00,17.40,12.80,22.30
1884.00,11.00,9.00,3.70,14.70
1884.00,0.00,3.50,-1.90,9.50
1884.00,1.00,1.90,-2.60,7.00
1884.00,2.00,1.60,-3.00,6.40
1884.00,3.00,5.60,0.30,10.70
1884.00,4.00,11.70,5.80,17.40
1884.00,5.00,16.70,10.60,22.70
1884.00,6.00,21.00,16.30,25.60
1884.00,7.00,25.10,20.90,29.40
1884.00,8.00,25.10,20.60,29.80
1884.00,9.00,23.00,18.40,28.00
1885.00,10.00,14.70,8.80,20.80
1885.00,11.00,7.10,1.70,12.80
1885.00,0.00,2.60,-2.70,8.40
1885.00,1.00,0.80,-3.80,5.70
1885.00,2.00,1.20,-3.50,6.40
1885.00,3.00,3.80,-1.70,9.40
1885.00,4.00,12.50,7.50,17.20
1885.00,5.00,15.90,9.40,21.70
1885.00,6.00,21.50,17.70,25.40
1885.00,7.00,24.60,20.20,29.10
1885.00,8.00,26.50,21.70,31.70
1885.00,9.00,23.40,18.60,28.60
1886.00,10.00,16.80,11.60,22.40
1886.00,11.00,9.80,4.50,15.50
1886.00,0.00,5.10,0.00,10.80
1886.00,1.00,1.40,-3.60,6.30
1886.00,2.00,1.00,-4.00,6.00
1886.00,3.00,7.00,1.50,12.20
1886.00,4.00,12.40,6.40,18.20
1886.00,5.00,16.90,11.60,22.00
1886.00,6.00,21.40,16.40,26.40
1886.00,7.00,26.00,20.50,31.80
1886.00,8.00,27.30,22.10,33.30
1886.00,9.00,23.00,18.90,27.50
1887.00,10.00,17.10,12.10,22.20
1887.00,11.00,10.20,5.40,15.40
1887.00,0.00,3.90,-1.50,9.60
1887.00,1.00,3.50,-0.60,7.50
1887.00,2.00,2.90,-2.10,8.50
1887.00,3.00,5.30,-1.10,11.70
1887.00,4.00,12.10,5.40,18.60
1887.00,5.00,15.50,9.50,21.00
1887.00,6.00,20.70,15.40,25.60
1887.00,7.00,25.00,20.20,29.80
1887.00,8.00,26.30,22.10,31.10
1887.00,9.00,21.50,16.60,26.60
1888.00,10.00,17.30,11.70,23.50
1888.00,11.00,9.70,3.60,16.50
1888.00,0.00,4.60,-1.10,10.60
1888.00,1.00,2.90,-2.70,8.90
1888.00,2.00,1.70,-3.60,7.30
1888.00,3.00,7.50,0.80,13.40
1888.00,4.00,13.10,7.30,18.80
1888.00,5.00,17.20,10.60,22.80
1888.00,6.00,19.60,14.10,24.70
1888.00,7.00,26.00,21.80,30.40
1888.00,8.00,26.80,22.50,32.00
1888.00,9.00,21.30,16.10,27.30
1889.00,10.00,14.80,8.50,21.60
1889.00,11.00,11.70,6.00,18.30
1889.00,0.00,5.30,-0.20,11.20
1889.00,1.00,2.10,-3.00,7.20
1889.00,2.00,2.60,-2.50,7.60
1889.00,3.00,6.60,0.00,12.80
1889.00,4.00,12.50,6.60,17.80
1889.00,5.00,15.60,9.20,21.40
1889.00,6.00,21.90,16.50,26.90
1889.00,7.00,24.70,21.20,28.50
1889.00,8.00,26.20,21.70,31.20
1889.00,9.00,20.30,15.70,25.40
1890.00,10.00,14.90,9.40,21.10
1890.00,11.00,9.10,3.50,15.60
1890.00,0.00,4.90,-0.50,10.30
1890.00,1.00,3.30,-1.90,8.50
1890.00,2.00,6.60,1.00,12.00
1890.00,3.00,8.60,3.00,13.70
1890.00,4.00,14.20,8.20,19.60
1890.00,5.00,17.30,11.70,22.50
1890.00,6.00,22.00,16.70,27.00
1890.00,7.00,25.00,19.90,30.30
1890.00,8.00,26.50,21.90,31.90
1890.00,9.00,24.00,19.50,29.20
1891.00,10.00,16.10,11.10,21.70
1891.00,11.00,10.50,4.40,17.40
1891.00,0.00,9.00,3.40,14.20
1891.00,1.00,2.00,-3.30,7.50
1891.00,2.00,3.80,-1.50,8.80
1891.00,3.00,7.80,1.50,13.90
1891.00,4.00,12.10,5.10,18.70
1891.00,5.00,17.60,9.50,25.00
1891.00,6.00,20.60,15.00,25.90
1891.00,7.00,25.10,21.40,29.40
1891.00,8.00,25.60,20.80,30.80
