year,month,mtavg ,mtmin ,mtmax ,mean wspd,mean sea level air pressure,mean station level pressure ,mean relative humidity,mean cloud amount,mean percent possible sunshine,monthly total sunshine hours,monthly total precipitation
1882,10,15.3,9,21.4,,1016.3,,80,,,,67.3
1882,11,10.4,4.7,16.7,,1017.2,,81,,,,73.8
1882,0,3.8,-0.7,8.9,,1021.3,,83,,,,58.5
1882,1,4.3,-0.3,9.2,,1020.9,,82,,,,98.2
1882,2,4.4,0.4,8.4,,1019.7,,76,,,,57.1
1882,3,5.5,-0.8,11.8,,1017.6,,75,,,,72.5
1882,4,13,6.4,18.8,,1014.1,,76,,,,208
1882,5,16.5,9.2,22.1,,1010.3,,72,,,,129.4
1882,6,20.4,15.5,25.1,,1007.3,,77,,,,167.6
1882,7,25.1,20.6,29.8,,1009.9,,77,,,,95.7
1882,8,25.5,20.8,30.1,,1010.7,,76,,,,124.4 )
1882,9,21.6,16.2,27,,1012.7,,77,,,,113.4
1883,10,16.6,10.6,22.2,,1016.3,,78,,,,107.8
1883,11,9.3,3.3,15.3,,1020.5,,80,,,,72.2
1883,0,2.9,-3.1,9.5,,1020.8,,80,,,,11.9
1883,1,2.3,-2.6,7.6,,1019.1,,80,,,,66.9
1883,2,3.1,-1.5,7.9,,1020.9,,78,,,,89.5
1883,3,5.6,-0.3,11.3,,1015.1,,72,,,,89.8
1883,4,11.6,5.5,17.2,,1016,,73,,,,121.3
1883,5,16.1,10.1,21.7,,1011.1,,72,,,,112.5
1883,6,21.1,15.3,26.7,,1010.5,,74,,,,139.3
1883,7,25.9,20.4,31.4,,1008,,73,,,,70.8
1883,8,26.8,20.7,33.2,,1010.3,,67,,,,18.4
1883,9,22.7,17.2,28.8,,1012.8,,73,,,,109.9
1884,10,17.4,12.8,22.3,,1016.5,,82,,,,260.6
1884,11,9,3.7,14.7,,1020,,84,,,,37.8
1884,0,3.5,-1.9,9.5,,1017.9,,76,,,,34.7
1884,1,1.9,-2.6,7,,1020.5,,83,,,,76
1884,2,1.6,-3,6.4,,1019.9,,81,,,,67.5
1884,3,5.6,0.3,10.7,,1016.5,,75,,,,169.2
1884,4,11.7,5.8,17.4,,1015.9,,74,,,,140.4
1884,5,16.7,10.6,22.7,,1011.6,,74,,,,118.7
1884,6,21,16.3,25.6,,1009.6,,79,,,,216
1884,7,25.1,20.9,29.4,,1011.1,,82,,,,329.7
1884,8,25.1,20.6,29.8,,1008.3,,74,,,,76.6
1884,9,23,18.4,28,,1012.9,,77,,,,270.6
1885,10,14.7,8.8,20.8,,1018.4,,78,,,,32.3
1885,11,7.1,1.7,12.8,,1018,,80,,,,62.7
1885,0,2.6,-2.7,8.4,,1020.3,,79,,,,24
1885,1,0.8,-3.8,5.7,,1021.7,,81,,,,47
1885,2,1.2,-3.5,6.4,,1019.1,,74,,,,14.4
1885,3,3.8,-1.7,9.4,,1017.9,,74,,,,105.7
1885,4,12.5,7.5,17.2,,1016.5,,78,,,,302.4
1885,5,15.9,9.4,21.7,,1012.5,,70,,,,86.7
1885,6,21.5,17.7,25.4,,1009.1,,83,,,,579.4
1885,7,24.6,20.2,29.1,,1009.2,,76,,,,212.1
1885,8,26.5,21.7,31.7,,1010,,75,,,,108.3
1885,9,23.4,18.6,28.6,,1011.7,,76,,,,52.9
1886,10,16.8,11.6,22.4,,1016,,80,,,,160.7
1886,11,9.8,4.5,15.5,,1018.1,,81,,,,91.1
1886,0,5.1,0,10.8,,1018.7,,81,,,,45.5
