year,mtavg ,mtmin ,mtmax ,mean wspd,mean sea level air pressure,mean station level pressure ,mean relative humidity,mean cloud amount,mean percent possible sunshine,monthly total sunshine hours,monthly total precipitation
1880,5.3,0,11.7,,,,,,,,42.8
1881,13.7,8.4,19,,1015,,77,,,,1572.9
1882,13.8,8.2,19.1,,1015.1,,77,,,,1258.2
1883,13.8,8.3,19.4,,1014.9,,75,,,,1151.5
1884,13,7.9,18.3,,1015.3,,78,,,,1583.7
1885,13.5,8.5,18.7,,1015,,77,,,,1806.2
1886,14,8.8,19.2,,1015.5,,76,,,,1442.1
1887,13.7,8.3,19.3,,1015,,76,,,,1399.1
1888,14,8.4,19.7,,1015,,77,,,,1241.8
1889,13.5,8.2,18.8,,1015.4,,77,,42,562.1,1966.2
1890,15.3,9.9,20.7,,1014.3,,77,,42,1857.1,2016.4
1891,14.1,8.3,20.1,,1015.4,,76,,50,2219.1,1328
1892,13.5,8.6,19.7,,1015,,77,,46,2049.5,1756
1893,13.2,8.2,19.8,,1015.3,,77,,51,2256.7,1349.5
1894,14.2,9,21,,1015.7,,77,,51,2274.1,1131.6
1895,13.5,8.2,20.2,,1014.9,,77,,49,2161.5,1736.1
1896,13.5,8.4,19.8,,1015.7,,79,,47,2088,1973.7
1897,13.3,8,19.5,,1016,,78,,52,2287,1741.7
1898,14,8.6,20.3,,1015.1,,79,,53,2331.4,1444.7
1899,13.4,8,19.9,,1015.7,,80,,51,2273.1,1947.8
1900,13.5,7.8,19.6,,1015.9,,77,,51,2254.1,1511.6
1901,13.5,7.4,19.8,,1015,,77,,48,2142.5,1367.8
1902,13.4,7.3,19.6,,1015.3,,78,,46,2058.1,1574.2
1903,13.7,8.1,19.9,,1015.9,,78,,45,2004.7,2059.3
1904,13.7,7.9,20.7,,1015.6,,78,,47,2083.8,1665.1
1905,13.9,8.6,20.6,,1015.8,,79,,44,1963.2,1867.9
1906,13.2,7.7,20.1,,1014.8,,78,,47,2069.1,1582.4
1907,13.3,7.7,20.4,,1015,,77,,50,2219.2,1661.4
1908,13.2,7.7,20.2,,1015.7,,78,,49,2166,1567.5
1909,13.4,7.8,20.1,,1015.5,,77,,50,2196.7,1497
1910,13.4,8,20,,1014.8,,77,,45,1986.6,1597
1911,14,8.4,20.6,,1016.3,,77,,46,2058.2,1930.8
1912,13.8,8.1,20.5,,1016,,76,,44,1952.7,1448.2
1913,13.2,7.3,20,,1015,,75,,46,2018.6,1343.1
1914,14.8,9.4,20.7,,1015.5,,76,,46,2044.2,1391.2
