"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","PresslevHp","Precmm","TotClOct","lowClOct","VisKm","WindkmhGust","PreselevHp","SunD1h","SnowDepcm"
47108,2021-09-30,19.2,25.8,16,17.4,89.8,"NNW",5.7,1009,0,3.5,4.8,17.3,NA,NA,NA,NA
47108,2021-09-29,21.1,24,20.1,18.9,88.6,"ENE",6.9,1008.9,18,7.8,6.7,12.5,NA,NA,NA,NA
47108,2021-09-28,21.7,25,19.6,15.9,70.4,"ENE",8.1,1014,0,7.4,5.1,20,NA,NA,NA,NA
47108,2021-09-27,22.2,27.3,18.7,14.3,61.6,"ENE",9.3,1017.5,0,5.9,4.7,20,NA,NA,NA,NA
47108,2021-09-26,21.9,26.6,18.4,15.8,68.9,"ENE",8.6,1021.8,0,6.1,4.3,20,NA,NA,NA,NA
47108,2021-09-25,21.8,26.9,18.7,15.5,68.5,"NE",9,1023.2,0,4.8,3.1,20,NA,NA,NA,NA
47108,2021-09-24,21.3,26.8,16.7,14.7,67.6,"N",7.8,1020.4,0,2.8,2.6,20,NA,NA,NA,NA
47108,2021-09-23,20.4,24.8,16.9,14.6,70.4,"W",10.4,1013.4,0,2.5,4.6,20,NA,NA,NA,NA
47108,2021-09-22,20.9,26.1,16.8,17.1,80.9,"W",11.6,1006.1,NA,4.8,5.1,17.5,NA,NA,NA,NA
47108,2021-09-21,23.3,28.4,20.6,18.5,77.1,"SE",10.4,1006,NA,6.8,5.7,15.5,NA,NA,NA,NA
47108,2021-09-20,23.2,28,19,15.2,62.3,"ENE",8.3,1013.6,0,3.8,2.8,20,NA,NA,NA,NA
47108,2021-09-19,24.4,29.8,21.1,17.4,66.4,"NNE",6.5,1015.6,0,4.7,4.8,20,NA,NA,NA,NA
47108,2021-09-18,23.5,29.3,19,15.1,61,"NE",7.9,1011.8,0,1.7,1.2,20,NA,NA,NA,NA
47108,2021-09-17,23.4,27.9,20.5,15.8,63.4,"NE",9.5,1009.9,0,5.8,3.3,20,NA,NA,NA,NA
47108,2021-09-16,22.9,28.9,18,13.9,58.3,"ENE",12,1014.7,0,1.8,0.2,19.5,NA,NA,NA,NA
47108,2021-09-15,24.6,29.5,19.5,15.3,57.5,"ENE",11.7,1015.5,0,0.7,1.4,20,NA,NA,NA,NA
47108,2021-09-14,24.9,30.2,20,17.5,65.6,"ENE",8.7,1015.7,0,4.4,1.1,20,NA,NA,NA,NA
47108,2021-09-13,24.6,30.2,20.8,17.4,66,"NE",8.4,1015.1,0,3.8,0.3,20,NA,NA,NA,NA
47108,2021-09-12,24,29.5,19.2,17.2,66.9,"NW",7.2,1012.1,0,1.4,2.5,20,NA,NA,NA,NA
47108,2021-09-11,23.9,29.3,19.9,18.9,75.8,"W",6.3,1012.9,0,2.2,3.3,16.9,NA,NA,NA,NA
47108,2021-09-10,23.9,29.1,19.5,18.8,74.7,"WNW",6.5,1013,0,4.8,2.2,18.2,NA,NA,NA,NA
47108,2021-09-09,22.8,28.4,19.1,18.5,78.3,"WNW",5.9,1012.9,NA,2.8,2.5,18.2,NA,NA,NA,NA
47108,2021-09-08,21.1,26.1,19,19.3,89.9,"NW",5.9,1008.1,NA,6.7,7.2,11.6,NA,NA,NA,NA
47108,2021-09-07,20,26.4,17.6,18,90.2,"ENE",10.1,1011.2,37,8,7,9.4,NA,NA,NA,NA
47108,2021-09-06,23.4,27.3,20.7,15.3,60.7,"ENE",13.2,1018,0,5.9,2.8,20,NA,NA,NA,NA
47108,2021-09-05,23.3,28.6,19.4,14.3,57.9,"ENE",10.8,1017.1,0,4.6,1.4,20,NA,NA,NA,NA
47108,2021-09-04,23.6,29.2,18.5,14.2,56.9,"ENE",9,1012.7,0,2.5,0.8,20,NA,NA,NA,NA
47108,2021-09-03,24.1,28.8,20.6,17.5,67.8,"ENE",7.8,1008.8,0,4.1,4.1,20,NA,NA,NA,NA
47108,2021-09-02,22.8,26.7,20.7,17.5,72.2,"NE",8.7,1010.2,NA,6.2,7.6,20,NA,NA,NA,NA
47108,2021-09-01,19.5,23.4,18.1,18.3,92.8,"NE",12,1010.5,615,7.9,7.3,14.3,NA,NA,NA,NA
47108,2021-08-31,23.4,27.6,19.9,19.8,82,"NNE",5.9,1015.8,30.1,7,5,12.9,NA,NA,NA,NA
47108,2021-08-30,23.8,27.4,21.2,19.9,79.6,"WNW",5.7,1015.1,0,6.9,4.7,18.5,NA,NA,NA,NA
47108,2021-08-29,24.1,27.9,21.9,20.5,81.2,"W",7.1,1013.6,0,7.5,4.3,15.3,NA,NA,NA,NA
47108,2021-08-28,21.9,27.9,19.7,19.3,85.3,"NNW",5.6,1014,0,6.8,3.8,16.1,NA,NA,NA,NA
47108,2021-08-27,24.9,27.7,21.9,21.5,82.4,"SW",6.6,1012.6,7.9,7.6,5.7,13.9,NA,NA,NA,NA
47108,2021-08-26,24.9,27.7,22.9,21.9,83.6,"SSE",7.7,1009.6,0,5.5,4.6,16.8,NA,NA,NA,NA
47108,2021-08-25,24.5,27.2,23.4,22.8,90.5,"SSW",9,1003.3,NA,7.9,6.3,17.2,NA,NA,NA,NA
47108,2021-08-24,22.3,25.9,21.1,21.2,93.6,"ENE",9.6,1001.7,79.8,7.8,6.5,16.2,NA,NA,NA,NA
47108,2021-08-23,23.7,27,21.8,20.5,83.3,"NE",7.1,1009.8,2,7.5,3.4,14.2,NA,NA,NA,NA
47108,2021-08-22,24.1,26.6,22.4,21.5,85.9,"SW",9.8,1004.8,NA,6.5,5.6,19,NA,NA,NA,NA
47108,2021-08-21,25.5,30.3,21.4,20.6,76.6,"E",9,1006.1,0,7,4.2,16.8,NA,NA,NA,NA
47108,2021-08-20,26.8,31,22.6,17.9,59.5,"E",8.3,1011.6,0,4.5,4.1,19.6,NA,NA,NA,NA
47108,2021-08-19,25.3,31,21,16.8,60.1,"ENE",11.3,1010.9,NA,2.4,2.7,20,NA,NA,NA,NA
47108,2021-08-18,24.1,30.5,20.6,19,75.3,"NE",8.9,1009.8,NA,6.2,6,17.9,NA,NA,NA,NA
47108,2021-08-17,27.4,32.8,23,18.3,58.8,"ENE",9.5,1011.4,0,4.3,4,19.9,NA,NA,NA,NA
47108,2021-08-16,27.5,32.4,22.5,18.3,58.5,"ENE",8.4,1014.2,0,1.8,2.4,20,NA,NA,NA,NA
47108,2021-08-15,26.1,31.8,21.7,17.9,61.7,"ENE",10.4,1011.5,0,2.2,2.9,20,NA,NA,NA,NA
47108,2021-08-14,26.7,30.2,23.4,19.7,66,"NE",9.2,1006.4,0,7.1,1.8,20,NA,NA,NA,NA
47108,2021-08-13,26,31.1,23.4,19.8,69.9,"NE",7.2,1007.2,NA,5.9,2.1,19.4,NA,NA,NA,NA
47108,2021-08-12,27.8,31.6,24.1,21.2,68.3,"N",7.8,1009.8,0,3.5,1,19.3,NA,NA,NA,NA
47108,2021-08-11,27.2,32.2,24.1,20.7,69,"NNW",7.1,1009.3,0,5.1,3.6,19.9,NA,NA,NA,NA
47108,2021-08-10,28.5,33.6,24.3,19.6,59.7,"ENE",9.6,1005.3,0,5.1,4.3,20,NA,NA,NA,NA
47108,2021-08-09,26.5,33.3,23.3,20.8,72.5,"NNE",7.1,1002.8,NA,4.4,3.8,19.6,NA,NA,NA,NA
47108,2021-08-08,28.4,32.3,24.4,21.5,67.3,"N",7.2,1002.9,0,5.2,1.4,20,NA,NA,NA,NA
47108,2021-08-07,27.1,32.2,23.4,20.5,67.7,"W",6.9,1003.2,0,4.5,3.1,20,NA,NA,NA,NA
