"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","PresslevHp","Precmm","TotClOct","lowClOct","VisKm","WindkmhGust","PreselevHp","SunD1h","SnowDepcm"
47136,2021-09-30,20.8,26.7,18,18.6,87.9,"W",3.2,1008.8,NA,6.2,7.6,11.9,NA,NA,NA,NA
47136,2021-09-29,20.3,23.7,18.5,18.1,88.1,"E",3.6,1011.2,12.9,7.7,7.5,15.2,NA,NA,NA,NA
47136,2021-09-28,19.6,25.2,15.6,15.7,79.6,"ESE",5,1015.9,0,6.6,6,19.9,NA,NA,NA,NA
47136,2021-09-27,19.3,25.5,14.1,13.8,72.7,"ESE",4.7,1019.3,0,5.5,4.8,19.9,NA,NA,NA,NA
47136,2021-09-26,19.7,25.4,16.1,15,76.6,"ESE",4.5,1023.1,0,6.2,6.5,19.9,NA,NA,NA,NA
47136,2021-09-25,18.9,25.4,13.8,15.3,81,"ESE",4.1,1024.5,0,5.1,6.3,19.5,NA,NA,NA,NA
47136,2021-09-24,19.3,24.7,14.3,14.7,76.4,"ESE",4.1,1021.7,0,4.4,3.8,19.6,NA,NA,NA,NA
47136,2021-09-23,20.1,24.7,14.6,14.2,70.7,"WNW",8.7,1013.6,NA,1.4,3,19.6,NA,NA,NA,NA
47136,2021-09-22,20.9,24.9,17.3,18.4,86.9,"W",4.4,1007.5,54.2,4,5.1,13.2,NA,NA,NA,NA
47136,2021-09-21,21.1,26.8,18.7,17.9,83.7,"ESE",5.6,1009.3,0,6.9,7.3,15.3,NA,NA,NA,NA
47136,2021-09-20,20.9,26.6,15.6,15.9,75.3,"ESE",6.2,1016,0,3.8,4.5,19.5,NA,NA,NA,NA
47136,2021-09-19,20.4,26.3,15.5,16,78.5,"SE",4.5,1017.5,0,3.9,4.6,15.3,NA,NA,NA,NA
47136,2021-09-18,17.9,24.4,15.1,15.8,87.7,"N",2.6,1012.9,0,6,5.7,12.4,NA,NA,NA,NA
47136,2021-09-17,20,25.6,17.7,16.5,82.7,"E",5.3,1011.8,26.1,7.8,7.7,15.7,NA,NA,NA,NA
47136,2021-09-16,20,26.8,13.8,14.2,71.5,"ESE",6.6,1016.5,0,3.1,4.8,19.8,NA,NA,NA,NA
47136,2021-09-15,20.9,26.6,16.2,15.1,71.1,"ESE",6.6,1017.3,0,3.9,3.1,19.9,NA,NA,NA,NA
47136,2021-09-14,20.6,25.6,16.7,15.3,72.9,"ESE",6,1018.1,0,7.2,2.8,20,NA,NA,NA,NA
47136,2021-09-13,22.9,28.8,19.1,17.6,73.7,"ESE",7.2,1017.4,0,6.5,4.1,19.2,NA,NA,NA,NA
47136,2021-09-12,22.1,29.3,17,17.8,79.8,"WSW",3.8,1012.6,0,2.8,5,12.6,NA,NA,NA,NA
47136,2021-09-11,22.4,28.5,17.8,18.3,79.4,"WSW",3.2,1013.8,0,3.6,4.5,10.7,NA,NA,NA,NA
47136,2021-09-10,21.8,26.7,19.1,19,85.5,"WNW",2.7,1014.3,0,6.8,5.2,13.2,NA,NA,NA,NA
47136,2021-09-09,21.1,26.5,17.2,17.8,83.3,"SW",3.9,1013.8,0,4.2,5,13.9,NA,NA,NA,NA
47136,2021-09-08,21.4,26.5,19.6,19.2,87.6,"WNW",3.9,1008.7,NA,6.8,6.6,16.2,NA,NA,NA,NA
47136,2021-09-07,20,25.7,17.8,16.9,84.9,"E",4.1,1014.5,18,7.9,7.2,12.5,NA,NA,NA,NA
47136,2021-09-06,21.1,25.2,16.5,16.1,74.9,"E",4.8,1019.7,0,7.6,7.1,19.4,NA,NA,NA,NA
47136,2021-09-05,20.4,26.5,14.8,15.6,75.9,"E",4.7,1018.5,0,5.5,2.1,19.8,NA,NA,NA,NA
47136,2021-09-04,20.1,25.6,14.6,15.2,75.3,"ESE",4.4,1014,0,4.9,3.4,19.6,NA,NA,NA,NA
47136,2021-09-03,21.2,25.4,18.2,17,77.9,"ESE",4.8,1010.4,0,7,7.5,19.9,NA,NA,NA,NA
47136,2021-09-02,20.7,23.5,18.3,18.2,86.2,"ESE",3.2,1011.4,0,6.7,6.9,19.5,NA,NA,NA,NA
47136,2021-09-01,20.5,25,18.7,18.8,90.9,"E",5.3,1012.2,72,8,NA,10.2,NA,NA,NA,NA
47136,2021-08-31,22.2,25,20.1,19.8,86.7,"SSW",2.3,1016.5,0,7.6,7,11.8,NA,NA,NA,NA
47136,2021-08-30,21.5,24.2,19.2,19.4,87.7,"WNW",2.9,1015.6,NA,7,6.7,10.9,NA,NA,NA,NA
47136,2021-08-29,22.2,28.7,19.5,19.2,85.1,"NNW",3.6,1014.1,NA,7,6.1,13.9,NA,NA,NA,NA
47136,2021-08-28,21.7,28,19.2,19,85.7,"WNW",3.3,1014.1,NA,6,6,13,NA,NA,NA,NA
47136,2021-08-27,23.6,28.8,20.5,21.2,88.6,"WNW",3.2,1013.6,0,6.5,5.4,9.6,NA,NA,NA,NA
47136,2021-08-26,22.3,28.8,20.2,20.2,88.9,"NW",3.6,1011.1,NA,6.9,6.5,13.4,NA,NA,NA,NA
47136,2021-08-25,24,25.3,21.5,22.2,89.9,"NW",3.5,1005.1,NA,6.9,6.8,18.9,NA,NA,NA,NA
47136,2021-08-24,21.3,24.6,20.2,20.3,93.9,"ENE",4.2,1004.5,NA,7.9,NA,12.3,NA,NA,NA,NA
47136,2021-08-23,23,28.7,20.7,20.6,87.5,"NW",2.6,1011.1,4,7.6,6.1,11.2,NA,NA,NA,NA
47136,2021-08-22,23.3,28.2,20,20.8,86.3,"WSW",5.1,1006.6,NA,5.7,4.6,15.9,NA,NA,NA,NA
47136,2021-08-21,24.2,30.1,21,20.3,81.1,"SE",5.1,1009.6,0,6,5.2,15.7,NA,NA,NA,NA
47136,2021-08-20,23,29.1,20.1,19.8,83,"SE",4.2,1013.7,NA,5.4,6.3,19.8,NA,NA,NA,NA
47136,2021-08-19,22.5,26.4,18.6,18.9,81.7,"ESE",4.5,1011.4,1.1,6.5,6.7,19,NA,NA,NA,NA
47136,2021-08-18,23.4,28.8,19.5,17.8,72.2,"E",4.7,1010.1,NA,6.2,7.4,19.5,NA,NA,NA,NA
47136,2021-08-17,23.2,28.6,19,17.6,72.2,"E",5.7,1012.4,0,6.5,6.7,18.6,NA,NA,NA,NA
47136,2021-08-16,23.7,27.1,20.6,18.1,71.1,"ESE",6.9,1016.4,0,5.7,5.8,18.8,NA,NA,NA,NA
47136,2021-08-15,22.2,26.6,18.6,19.3,84.9,"SE",4.4,1012.4,9.2,5.8,5.7,16.1,NA,NA,NA,NA
