"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","PresslevHp","Precmm","TotClOct","lowClOct","VisKm","WindkmhGust","PreselevHp","SunD1h","SnowDepcm"
47112,2021-09-30,19.6,24.1,16.9,15.8,79.4,"N",8.9,1009,NA,1.4,4,17.1,NA,NA,NA,NA
47112,2021-09-29,21,23.3,19.9,17.9,83.5,"S",11.3,1008.7,35,7.7,7,10.3,NA,NA,NA,NA
47112,2021-09-28,21.9,24.3,19.9,14.5,63.4,"ESE",7.1,1013.8,0,7.7,4.9,19.8,NA,NA,NA,NA
47112,2021-09-27,22.4,26.4,19.7,12.6,54.7,"SE",8,1017.3,0,6.6,6.2,20,NA,NA,NA,NA
47112,2021-09-26,22.5,26.4,20,14,59,"ESE",10.2,1021.6,0,6.4,3.6,20,NA,NA,NA,NA
47112,2021-09-25,22.3,26.4,19.6,13.8,59.5,"E",9.2,1023.1,0,4.5,2.7,20,NA,NA,NA,NA
47112,2021-09-24,21.3,25.9,17.5,13.8,63.7,"N",8.3,1020.5,0,2.5,2.2,19.1,NA,NA,NA,NA
47112,2021-09-23,21.1,24.9,18.2,13.7,63.5,"NW",14.4,1013.8,NA,1.6,3.4,20,NA,NA,NA,NA
47112,2021-09-22,21.2,24.6,18.1,16.3,75.5,"WSW",12,1006.1,NA,5,5.4,16.4,NA,NA,NA,NA
47112,2021-09-21,23.1,27.4,20.3,16.2,68.3,"S",16.2,1005.7,NA,6.7,4.8,13.4,NA,NA,NA,NA
47112,2021-09-20,23.8,27.6,20.2,13,51.8,"ESE",10.5,1013.3,0,3.6,2.7,20,NA,NA,NA,NA
47112,2021-09-19,24.2,27.6,22,16.2,61.9,"W",6.8,1015.6,0,4.6,5.1,20,NA,NA,NA,NA
47112,2021-09-18,24,28,19.7,12.9,51.1,"ENE",9,1011.8,0,2.8,2.6,20,NA,NA,NA,NA
47112,2021-09-17,23.7,27.7,20.2,12.7,51.4,"E",12.2,1009.9,0,5.6,3.8,20,NA,NA,NA,NA
47112,2021-09-16,23.5,28.5,19.3,10.4,44.6,"E",14.1,1014.5,0,2.5,0.9,20,NA,NA,NA,NA
47112,2021-09-15,24.8,29,19.6,11.5,44.7,"E",12.9,1015.4,0,0.5,0.9,20,NA,NA,NA,NA
47112,2021-09-14,25.3,29.4,21.6,14.1,51.5,"ESE",10.2,1015.5,0,4.3,0.5,19.9,NA,NA,NA,NA
47112,2021-09-13,24.4,29.3,21.5,16.4,62.3,"ENE",9.2,1015.1,0,4,0.5,18,NA,NA,NA,NA
47112,2021-09-12,23.8,27.8,20.1,15.5,60.6,"N",8.7,1012.3,0,1.4,2.7,19.8,NA,NA,NA,NA
47112,2021-09-11,23.6,27.1,21.1,17.7,71.1,"WSW",6.8,1013.1,0,1.5,3,11.6,NA,NA,NA,NA
47112,2021-09-10,23.4,27,21.2,17.8,72.4,"WSW",6.8,1013.2,0,5,2.6,9.4,NA,NA,NA,NA
47112,2021-09-09,22.9,26.3,20.3,17.4,72.1,"WSW",6,1012.9,0,2.8,1.8,10.7,NA,NA,NA,NA
47112,2021-09-08,21.1,25.3,19.1,17.1,79,"N",10.5,1008.3,NA,6.2,6.8,14.3,NA,NA,NA,NA
47112,2021-09-07,19.9,25.2,17.5,17.1,85.1,"SSE",14.7,1010.4,27,8,7.2,8.6,NA,NA,NA,NA
47112,2021-09-06,23.7,26.5,21.6,12.3,49.4,"E",14.9,1017.8,0,6.5,5,20,NA,NA,NA,NA
47112,2021-09-05,23.6,26.9,20.3,11.4,46.8,"E",11,1016.9,0,5,2,20,NA,NA,NA,NA
47112,2021-09-04,23.8,27.6,19.6,12.4,49.7,"ENE",9.6,1012.5,0,3.4,1.8,20,NA,NA,NA,NA
47112,2021-09-03,23.9,27.9,21.3,15.5,59.9,"ESE",8.1,1008.7,NA,4.6,4.2,20,NA,NA,NA,NA
47112,2021-09-02,22.8,25.3,21.3,15.2,62.5,"E",10.1,1010.1,1,6.6,7.9,20,NA,NA,NA,NA
47112,2021-09-01,19.4,23.3,18.1,16.3,82.6,"ENE",12.8,1010.2,NA,7.9,7.1,11.8,NA,NA,NA,NA
47112,2021-08-31,23.1,26.5,19,18.3,75.8,"NNE",6.5,1015.7,36,7,5,5,NA,NA,NA,NA
47112,2021-08-30,23.9,26.5,22.1,18.3,71.3,"NW",6,1015.2,0,6.8,2.7,11.1,NA,NA,NA,NA
47112,2021-08-29,23.2,26.2,20.9,18.6,75.9,"WSW",8.4,1013.7,0,7.4,3.9,13.2,NA,NA,NA,NA
47112,2021-08-28,22.2,26,20.9,17.2,73.1,"SW",6.8,1013.9,0,6.2,3.4,11.9,NA,NA,NA,NA
47112,2021-08-27,24.2,27.2,21.4,18.5,71.7,"SW",9.5,1012.6,0.6,7.9,6.1,10.7,NA,NA,NA,NA
47112,2021-08-26,24.8,27.2,23.3,20.1,75.3,"SSW",11.6,1009.4,0,5.2,4.5,12.4,NA,NA,NA,NA
