"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","PresslevHp","Precmm","TotClOct","lowClOct","VisKm","WindkmhGust","PreselevHp","SunD1h","SnowDepcm"
47412,2021-09-30,19.4,21.8,18,17.3,87.6,"SSE",21.7,1007,21,8,6.1,11.4,NA,NA,NA,NA
47412,2021-09-29,18.7,21.4,17.1,14.6,77,"SE",19.1,1017.5,0,6.3,5,17.1,NA,NA,NA,NA
47412,2021-09-28,17.1,22.2,13.9,12.5,75.1,"SE",12.5,1020.5,0,6.9,3.3,20,NA,NA,NA,NA
47412,2021-09-27,17.2,21.8,12.6,12.1,73,"SE",13.9,1022.7,0,4.1,2.9,20,NA,NA,NA,NA
47412,2021-09-26,15.4,21.1,11,9.4,68.6,"SE",8.9,1026.5,0,6.4,1,20,NA,NA,NA,NA
47412,2021-09-25,15.8,19.5,11.1,8.9,65,"NNW",9.7,1026.9,0,2.6,2.4,20,NA,NA,NA,NA
47412,2021-09-24,17.2,26.2,13.1,12.7,77,"NNW",11.2,1015.3,4,5.9,5.7,15.4,NA,NA,NA,NA
47412,2021-09-23,21.1,25.9,17.8,17.9,82.8,"SE",11.7,1007.6,0.5,6.3,3,19.3,NA,NA,NA,NA
47412,2021-09-22,20.7,23.4,19.4,17.4,81.6,"SE",18.1,1009.7,2,7.1,2.4,16.4,NA,NA,NA,NA
47412,2021-09-21,17.6,22.5,13.6,11.1,66.5,"SE",11.6,1017.4,NA,6.3,3.7,20,NA,NA,NA,NA
47412,2021-09-20,17.3,22.6,13,10,63.4,"NNW",10.4,1017,NA,4.1,2.3,20,NA,NA,NA,NA
47412,2021-09-19,20,22.6,17.2,14.7,72.4,"NW",15.8,1012.6,0,3.7,2.4,20,NA,NA,NA,NA
47412,2021-09-18,18.5,21.9,16.7,15.1,80.7,"SE",12.7,1013.5,NA,6.6,3.7,17.9,NA,NA,NA,NA
47412,2021-09-17,17.6,21.6,14.9,12.1,70.6,"SE",16.6,1018,0,7.6,1.1,20,NA,NA,NA,NA
47412,2021-09-16,16.2,21.5,10.8,9.2,64.4,"SE",9.4,1021,0,3.7,0.8,20,NA,NA,NA,NA
47412,2021-09-15,16.8,21.2,12.2,8.9,61.7,"WNW",7.9,1020.4,0,3,1.3,20,NA,NA,NA,NA
47412,2021-09-14,16.4,20.2,11.7,8.7,61.5,"NNW",8.3,1020.4,0,5.1,1.7,20,NA,NA,NA,NA
47412,2021-09-13,18.3,26.1,15.7,13.9,76.5,"NW",19.6,1007.6,14,5.7,5.4,17.1,NA,NA,NA,NA
47412,2021-09-12,21.7,26.7,19.7,16.9,75.2,"SSE",17,1007.4,NA,6.1,3.6,17.1,NA,NA,NA,NA
47412,2021-09-11,21.1,26.4,16.7,15.8,73.1,"SSE",12.4,1013,0,2.1,0.8,20,NA,NA,NA,NA
47412,2021-09-10,21.1,25.1,17.6,17.3,80.1,"NNW",7.8,1013.3,0,4.4,4.1,17.9,NA,NA,NA,NA
47412,2021-09-09,18.6,22.2,16.4,16,85.2,"SE",10.7,1013,2,7.7,7.7,10.7,NA,NA,NA,NA
47412,2021-09-08,19.6,25.6,18,14.7,74.6,"SE",15.4,1016.4,NA,7.6,3.1,19.3,NA,NA,NA,NA
47412,2021-09-07,19.7,25.1,14.9,13.2,68.2,"NNW",5.7,1019.4,0,4,1.2,20,NA,NA,NA,NA
47412,2021-09-06,20.1,25.6,15.9,14.9,72.9,"NNW",7.5,1021.4,0,4,3.9,18.6,NA,NA,NA,NA
47412,2021-09-05,19.9,26.3,15.8,15.9,80,"N",5.6,1021.2,30,3.4,3.3,17.9,NA,NA,NA,NA
47412,2021-09-04,21.1,26.6,16.2,14.9,69.4,"SE",9.3,1017.2,0,2.4,2.3,19.3,NA,NA,NA,NA
47412,2021-09-03,20.7,26.2,15.9,14.5,68.8,"ESE",5.9,1013.1,0,2.1,3,20,NA,NA,NA,NA
47412,2021-09-02,20.2,25.5,16.4,13.3,65.4,"NW",8.6,1011.9,NA,3.3,3.3,20,NA,NA,NA,NA
47412,2021-09-01,20.9,24.9,16.2,13.6,63.7,"NW",13.4,1012,0,5,2.9,20,NA,NA,NA,NA
47412,2021-08-31,23.2,30.3,20.1,12.9,54,"W",15.7,1009.1,NA,4.7,4.1,20,NA,NA,NA,NA
47412,2021-08-30,25.6,30.3,21.5,16,57.2,"SSW",11.7,1008.4,0.5,6.1,3.3,19.3,NA,NA,NA,NA
