"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","PresslevHp","Precmm","TotClOct","lowClOct","VisKm","WindkmhGust","PreselevHp","SunD1h","SnowDepcm"
47159,2021-09-30,23.1,26.6,21.1,21.4,91.1,"SW",12.9,1006.7,NA,7.8,6.2,28.9,NA,NA,NA,NA
47159,2021-09-29,23.5,27.4,21.5,20.7,84.4,"SSE",8,1009.8,0,7.1,4.8,39.1,NA,NA,NA,NA
47159,2021-09-28,22,25.5,20,16.7,72.4,"NE",11,1013.3,0,6.1,3.5,50,NA,NA,NA,NA
47159,2021-09-27,21.6,25.4,18.9,16.3,72.2,"ENE",10.8,1016.1,0,6.5,4.8,49.8,NA,NA,NA,NA
47159,2021-09-26,22.2,24.7,20.7,17.1,73.3,"NE",12.3,1019.8,0,6.6,5.1,50,NA,NA,NA,NA
47159,2021-09-25,22,26.7,19.8,18.2,79.7,"ENE",12.5,1021,0,4.9,4.3,48.5,NA,NA,NA,NA
47159,2021-09-24,22.9,27.3,19.4,15.6,64.4,"NE",8.1,1019,0,4,2.3,50,NA,NA,NA,NA
47159,2021-09-23,23,26.9,19.3,16.1,66.5,"SW",9.9,1012.1,NA,1.4,0.6,42.3,NA,NA,NA,NA
47159,2021-09-22,22.6,26.7,20.5,20,85.8,"WSW",16,1007.1,0,2.4,3.5,32.2,NA,NA,NA,NA
47159,2021-09-21,23.6,27.4,22.6,21.5,88.5,"SSW",14.9,1008.7,8,6.4,6.3,34,NA,NA,NA,NA
47159,2021-09-20,22.8,27.8,19.9,17.9,74.7,"ENE",9.9,1013.6,0,2.9,3.7,50,NA,NA,NA,NA
47159,2021-09-19,22.6,27.7,19.4,17.6,73.9,"ENE",9.2,1014.8,0,2.6,3,49.8,NA,NA,NA,NA
47159,2021-09-18,21.5,26.8,19.6,16.4,73.7,"ENE",10.1,1009.2,NA,6,5.5,49.1,NA,NA,NA,NA
47159,2021-09-17,21.6,24.6,19.5,19.3,88.3,"NE",15.2,1007.1,49,8,6.1,25.9,NA,NA,NA,NA
47159,2021-09-16,22.4,24.6,20.3,17.3,73,"NE",14.7,1013,0,4,3.6,49.1,NA,NA,NA,NA
47159,2021-09-15,22.5,26.1,21,18.1,77.4,"ENE",17.3,1013.5,NA,6.9,5.2,41.5,NA,NA,NA,NA
47159,2021-09-14,22.4,24.7,20.7,19.8,86.7,"NE",12.3,1014.7,10,8,6.9,28.7,NA,NA,NA,NA
47159,2021-09-13,24.2,28.8,22.5,19.1,74.3,"NE",12.3,1015,0,7.6,3,44.4,NA,NA,NA,NA
47159,2021-09-12,25,28.4,21.9,19.9,74.1,"ESE",5.1,1010.7,0,4.1,0.2,41.5,NA,NA,NA,NA
47159,2021-09-11,23.9,28.1,21.4,18.9,73.4,"WSW",10.4,1012.3,0,3.4,3.9,44,NA,NA,NA,NA
47159,2021-09-10,23.5,27.2,22.3,19.8,81,"SW",5.3,1013.1,0,7.2,5.2,33.9,NA,NA,NA,NA
47159,2021-09-09,24.2,27.6,21.4,20.2,79.2,"E",8,1011.8,NA,4.9,3.5,42.6,NA,NA,NA,NA
47159,2021-09-08,24.7,27.7,22.2,20.9,79.8,"SW",13.4,1007.1,NA,6.2,3.2,42.8,NA,NA,NA,NA
47159,2021-09-07,23.4,27.3,21.3,20.4,83.3,"ENE",10.4,1012.2,NA,8,5.3,33.8,NA,NA,NA,NA
47159,2021-09-06,23,26.3,21.2,18.7,77.1,"NE",10.1,1016.9,0,7.8,6.2,46.5,NA,NA,NA,NA
47159,2021-09-05,23,26.8,21.3,17.5,72,"ENE",10.2,1015.7,0,7.2,4.6,49.6,NA,NA,NA,NA
47159,2021-09-04,22.7,26.4,20.8,18.2,75.7,"NE",10.2,1011.1,0,5.8,3.5,49.8,NA,NA,NA,NA
47159,2021-09-03,21.6,24.5,20.1,18.5,82.2,"NE",11.4,1007.8,NA,7.9,6.8,44.9,NA,NA,NA,NA
47159,2021-09-02,23.1,28,21,21,89.6,"ENE",11.1,1008.8,75.1,7.8,6.4,39.4,NA,NA,NA,NA
47159,2021-09-01,25.6,28.4,23.5,22.8,84.7,"SSW",11.1,1010.6,1,7,5.6,33.4,NA,NA,NA,NA
47159,2021-08-31,26.1,29.5,24.3,21.9,78.6,"ENE",6.3,1014.4,0,6.5,4.3,31.9,NA,NA,NA,NA
47159,2021-08-30,26.8,30.4,24.3,23.7,83.9,"SW",11,1013.1,NA,5.4,4.7,32.6,NA,NA,NA,NA
47159,2021-08-29,26.9,29.6,25,23.9,84.3,"SSW",14.4,1012,0,4.2,4.1,36,NA,NA,NA,NA
47159,2021-08-28,26.7,29.9,23.5,23.2,82.3,"SW",15.5,1011.7,NA,4.6,5.4,40.1,NA,NA,NA,NA
47159,2021-08-27,25.9,30.5,23.4,22.1,80,"SSW",10.4,1012.3,0,4.1,2.1,32.5,NA,NA,NA,NA
47159,2021-08-26,25.6,30.4,23.9,23.9,90.8,"SW",12.3,1009.4,NA,5.5,4.2,14.7,NA,NA,NA,NA
47159,2021-08-25,25.2,26.8,23.9,23.9,93.1,"SSW",14.3,1004.9,60,7.1,4.8,13.8,NA,NA,NA,NA
47159,2021-08-24,24.2,26.4,22.6,23.5,95.3,"SSW",24.9,1002.6,267,8,NA,21.4,NA,NA,NA,NA
47159,2021-08-23,25.4,29.7,22.3,22.8,87,"SW",9.9,1009.7,16,7.3,4.4,29.5,NA,NA,NA,NA
47159,2021-08-22,24.9,28.1,21,22.8,87.8,"SW",21.5,1006.5,0,5.9,4.2,28.8,NA,NA,NA,NA
47159,2021-08-21,25.2,28.7,22.3,22.8,87.8,"SSE",15.6,1009.3,89,6,5.6,29.1,NA,NA,NA,NA
47159,2021-08-20,24.9,28.7,21.9,21.5,81.7,"E",8.4,1012.3,0,4.7,5.1,47,NA,NA,NA,NA
47159,2021-08-19,24.2,27.8,22.2,19.8,76.7,"NE",10.4,1008.4,NA,5.6,4.7,47.9,NA,NA,NA,NA
47159,2021-08-18,23.3,25.9,21.7,19.9,81.6,"NE",10.7,1007.2,0,5.5,4.6,39.1,NA,NA,NA,NA
47159,2021-08-17,23.7,28,20.5,20.4,83.5,"NE",11.7,1009.3,0,7.3,5.4,36.3,NA,NA,NA,NA
47159,2021-08-16,24.4,28,22,20.2,78,"ENE",11.3,1013.9,0,6.4,3.3,41.1,NA,NA,NA,NA
47159,2021-08-15,24.6,28.6,22.4,20.1,76.3,"ENE",9.9,1009.6,84.1,5.9,2.7,47.3,NA,NA,NA,NA
47159,2021-08-14,23.8,25.9,21.6,21.7,88.7,"NE",9.8,1004.5,21.5,7.9,4.5,32.7,NA,NA,NA,NA
47159,2021-08-13,25.7,29.2,24,22.6,83.7,"ENE",8.7,1006.2,1.2,7.9,4.4,41.9,NA,NA,NA,NA
47159,2021-08-12,25.8,29.2,23.4,22.1,80,"SE",8.1,1009.6,0,4.8,3.8,45,NA,NA,NA,NA
47159,2021-08-11,26.5,28.3,25.1,23.2,82.3,"SE",7.1,1009.6,0,6.4,4.2,39.6,NA,NA,NA,NA
47159,2021-08-10,26.2,31,22.7,21.8,77.7,"E",9.2,1006.3,0,6.5,5.6,43.9,NA,NA,NA,NA
47159,2021-08-09,25.3,31.2,22.9,21.9,82.2,"N",12.3,999.3,NA,6.8,3.3,44,NA,NA,NA,NA
47159,2021-08-08,27.4,33.1,23.9,24.4,85.5,"ENE",8.1,1001.9,43.1,6.6,4,43.7,NA,NA,NA,NA
47159,2021-08-07,30.1,35.6,27.5,24.3,71.9,"E",7.5,1001.1,0,3.2,1.3,41,NA,NA,NA,NA
47159,2021-08-06,30.2,34.6,26.8,23.6,68.4,"E",7.8,1003,0,0.5,0.9,44.6,NA,NA,NA,NA
47159,2021-08-05,29.8,32.9,26.9,24.3,73.4,"ESE",5.6,1006.5,0,1,1,35.7,NA,NA,NA,NA
47159,2021-08-04,29.1,32.5,26.4,23.1,70.2,"S",8.1,1008.6,0,4.5,3.9,41.8,NA,NA,NA,NA
47159,2021-08-03,28.1,32,26,23.2,75.9,"S",9.6,1005.7,0,5.1,2.1,41.5,NA,NA,NA,NA
47159,2021-08-02,29.2,32.1,26.8,25,76,"SSW",13.3,1001.8,0,4.4,2.8,48.3,NA,NA,NA,NA
47159,2021-08-01,28.7,31.6,26.5,25.3,81.7,"SSW",9,999.5,0,3.9,2.5,26.5,NA,NA,NA,NA
47159,2021-07-31,27.9,30.8,25.9,24.2,81.4,"SW",12.2,1000.3,NA,5.9,2.5,39.2,NA,NA,NA,NA
47159,2021-07-30,27.8,30.5,25.1,22.1,72,"SSW",13.1,1001,0,4.9,0,50,NA,NA,NA,NA
47159,2021-07-29,28.2,32,25.1,22.5,72,"E",9,1002.1,0,1.8,1.9,48.8,NA,NA,NA,NA
47159,2021-07-28,27.9,31.9,24.9,22.6,73.5,"E",9.5,1002.3,0,2,2.4,50,NA,NA,NA,NA
47159,2021-07-27,28.3,31.4,25.2,22.6,71.5,"ENE",9.5,1003,0,1,1.6,50,NA,NA,NA,NA
47159,2021-07-26,28.1,31.1,25.6,22.1,70.6,"E",10.4,1005.2,0,3,1.2,49.4,NA,NA,NA,NA
47159,2021-07-25,28,31.7,26,22.5,72.8,"ENE",9.5,1007,0,5.9,1.8,46.2,NA,NA,NA,NA
47159,2021-07-24,28,32,25.5,22.7,73.7,"ENE",9.5,1008.3,0,5.8,1.2,49.4,NA,NA,NA,NA
47159,2021-07-23,27.9,31.6,25,22.7,74.1,"ENE",9.9,1009.4,0,5.4,0.5,41.5,NA,NA,NA,NA
47159,2021-07-22,28.1,31.2,25.2,22.4,71.7,"ENE",9.9,1010.7,0,5.4,1.2,49.4,NA,NA,NA,NA
47159,2021-07-21,28.3,32.4,25.7,21.8,69.5,"ENE",10.6,1012.3,0,5.1,0.5,48.9,NA,NA,NA,NA
47159,2021-07-20,27.9,31.8,25.6,22.5,72.6,"ENE",7.7,1013.5,0,5,1.9,50,NA,NA,NA,NA
47159,2021-07-19,26.4,28.6,24.3,22.7,80.2,"ENE",6.3,1012.2,0,6.8,4.9,49.4,NA,NA,NA,NA
47159,2021-07-18,26,28.3,24.3,22,78.4,"ENE",8.6,1011.5,0,5.6,6,50,NA,NA,NA,NA
47159,2021-07-17,26,29.4,23.2,22.1,80.5,"E",10.4,1012.3,NA,6.2,5.5,47.5,NA,NA,NA,NA
47159,2021-07-16,27.2,30,25,23.8,82.5,"E",7.2,1014.5,0,4.2,3.4,29.8,NA,NA,NA,NA
47159,2021-07-15,27.7,30,25.5,24,80.7,"SSW",11.3,1013.5,0,3,1.4,50,NA,NA,NA,NA
47159,2021-07-14,27.3,29.6,25.2,24.5,85,"SSW",13.1,1012,0,2.8,2.1,48.1,NA,NA,NA,NA
47159,2021-07-13,27,29.9,25.1,24.4,86.3,"SSW",15.3,1010.3,0,4.4,4,45.6,NA,NA,NA,NA
47159,2021-07-12,26.9,29.5,25.4,24.1,85.1,"SSW",15.3,1009.8,0,5.1,4.8,25.4,NA,NA,NA,NA
47159,2021-07-11,25.8,28.7,23.8,22.9,83.6,"SW",14,1009.8,0,4,4,35.9,NA,NA,NA,NA
47159,2021-07-10,25.2,27.3,23.4,22.2,83.7,"SSW",14,1006.9,0,5.4,4.4,21.6,NA,NA,NA,NA
47159,2021-07-09,23.4,26.6,22.2,22.2,92.5,"SE",5.4,1005.1,NA,7.5,7.4,11.1,NA,NA,NA,NA
47159,2021-07-08,23.4,27.3,21.6,22.4,93.9,"SW",8.1,1005.9,NA,7.8,7.4,10.9,NA,NA,NA,NA
47159,2021-07-07,24.3,26,22.7,23.4,94.9,"SW",12.2,1008.3,80,8,NA,15,NA,NA,NA,NA
47159,2021-07-06,23.4,24.6,22.1,22.3,93.7,"SW",22.5,1007.8,93,7.9,7.8,9.7,NA,NA,NA,NA
47159,2021-07-05,22.6,25.2,20.8,20.4,88.5,"WSW",14,1009.1,16,7.8,7.5,31.9,NA,NA,NA,NA
47159,2021-07-04,23.7,25.3,21.6,22.2,91.2,"SSW",27.5,1004.7,94,7.6,6.2,21.5,NA,NA,NA,NA
47159,2021-07-03,24.1,29.4,21.6,19.6,79,"ENE",13.1,1008.9,10,5.6,7.1,37.3,NA,NA,NA,NA
47159,2021-07-02,24.8,29.5,21.7,18.2,67.2,"ENE",11.3,1006.9,0,3.9,2.9,44.6,NA,NA,NA,NA
47159,2021-07-01,24.3,29.2,21.4,18.3,69.3,"ENE",10.4,1006.1,0,3.8,2.8,46.2,NA,NA,NA,NA
47159,2021-06-30,23.6,28.3,21.3,18.6,74,"ENE",9,1006.6,0,5.9,3.1,36,NA,NA,NA,NA
