"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","PresslevHp","Precmm","VisKm","WindkmhGust","PreselevHp","SunD1h","SnowDepcm","TotClOct","lowClOct"
47615,2021-09-30,22.6,26.8,18.5,18.7,80,"SSW",9.5,1012.5,NA,18.1,NA,NA,NA,NA,NA,NA
47615,2021-09-29,20,25.9,15,15.6,77.6,"ENE",7.7,1017.1,0,19.3,NA,NA,NA,NA,NA,NA
47615,2021-09-28,19.8,23.9,16.5,14.7,72.7,"NE",11.7,1018.6,NA,19.8,NA,NA,NA,NA,NA,NA
47615,2021-09-27,18.8,22.7,16.7,15,79,"NNE",10.2,1020.4,NA,19.7,NA,NA,NA,NA,NA,NA
47615,2021-09-26,18.9,22.5,17.7,15.5,81.5,"ENE",8.8,1024.8,NA,19.9,NA,NA,NA,NA,NA,NA
47615,2021-09-25,22,28.3,19,15.8,69.1,"NNE",14.4,1022.9,NA,19.6,NA,NA,NA,NA,NA,NA
47615,2021-09-24,24.1,30.3,18.2,18.1,71.3,"NNE",9.3,1015.7,0.5,19.6,NA,NA,NA,NA,NA,NA
47615,2021-09-23,25.6,29.5,21.9,22.1,82.2,"ESE",10.3,1010.4,NA,18.1,NA,NA,NA,NA,NA,NA
47615,2021-09-22,22.7,29,18,18.6,79,"SSE",8.6,1012.8,0,18.8,NA,NA,NA,NA,NA,NA
47615,2021-09-21,21.2,28.7,15.9,16.4,76.8,"SE",8.7,1018,0,19.8,NA,NA,NA,NA,NA,NA
47615,2021-09-20,21.7,30.1,15.6,14,65.6,"ENE",9,1016.3,NA,20,NA,NA,NA,NA,NA,NA
47615,2021-09-19,24.1,29.6,20.3,19.3,78.5,"NNE",12.8,1009.8,18,14,NA,NA,NA,NA,NA,NA
47615,2021-09-18,21.5,24.6,19.9,20.6,94.7,"SSW",9.7,1011.2,32,10.7,NA,NA,NA,NA,NA,NA
47615,2021-09-17,20,25.6,17.2,16,78.4,"ESE",9.1,1017.9,0,19.7,NA,NA,NA,NA,NA,NA
47615,2021-09-16,21.2,28.4,18.9,17.5,80.5,"NE",16.4,1016.5,4,17.7,NA,NA,NA,NA,NA,NA
47615,2021-09-15,22.7,27.3,19.9,18.6,78.9,"ENE",9.3,1015.2,NA,19.2,NA,NA,NA,NA,NA,NA
47615,2021-09-14,23.2,30.1,19.9,17.4,71.5,"ESE",10.4,1018.6,0,20,NA,NA,NA,NA,NA,NA
47615,2021-09-13,23.2,28.7,18.9,18.9,79.1,"NNW",6.3,1013.7,0,18,NA,NA,NA,NA,NA,NA
47615,2021-09-12,23.1,25.8,21,20.6,86.1,"N",7.7,1012,0,15.7,NA,NA,NA,NA,NA,NA
47615,2021-09-11,23.2,30.5,20.6,20.6,87.2,"NE",9.1,1013.4,8,13.9,NA,NA,NA,NA,NA,NA
47615,2021-09-10,23,29.4,18.6,20.1,85.3,"E",8,1013.2,0,15.4,NA,NA,NA,NA,NA,NA
47615,2021-09-09,19,23.7,17.9,18.7,97.4,"S",5.6,1014,12,5.3,NA,NA,NA,NA,NA,NA
47615,2021-09-08,19.3,24.9,17.1,14.6,75.5,"NE",7.3,1016.9,0.5,19,NA,NA,NA,NA,NA,NA
