"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","PresslevHp","Precmm","VisKm","WindkmhGust","PreselevHp","SunD1h","SnowDepcm","TotClOct","lowClOct"
47582,2021-09-30,22.3,27.5,20.3,16.5,71.4,"SE",17.1,1009.4,2,19,NA,NA,NA,NA,NA,NA
47582,2021-09-29,20.8,27.3,15.7,13.2,63.4,"SE",17.2,1015.4,0,20,NA,NA,NA,NA,NA,NA
47582,2021-09-28,20.2,26.4,15.4,12,60.6,"SE",16.4,1018,0,20,NA,NA,NA,NA,NA,NA
47582,2021-09-27,19.7,24.7,14.8,12.4,64,"ESE",17.1,1020,0,20,NA,NA,NA,NA,NA,NA
47582,2021-09-26,19.8,25.5,16.4,13,66.1,"ESE",16.5,1023,0,20,NA,NA,NA,NA,NA,NA
47582,2021-09-25,18.6,24.2,14.2,13.4,74.3,"ESE",8.5,1024.4,0,20,NA,NA,NA,NA,NA,NA
47582,2021-09-24,22.4,26.1,20,16.7,71,"WNW",22.7,1015.9,NA,19.8,NA,NA,NA,NA,NA,NA
47582,2021-09-23,21.2,26.4,19.3,19.3,89.2,"SSE",13,1010.7,16,17.9,NA,NA,NA,NA,NA,NA
47582,2021-09-22,22.4,29.8,18.4,16,71.1,"SE",16.2,1010.3,22,17.2,NA,NA,NA,NA,NA,NA
47582,2021-09-21,21.9,29.7,16.6,15.1,68.3,"ESE",14.7,1015.8,0,19.6,NA,NA,NA,NA,NA,NA
47582,2021-09-20,19.8,25.7,14,14.5,73.1,"N",8.3,1017.4,0,20,NA,NA,NA,NA,NA,NA
47582,2021-09-19,19.9,25.2,14.6,17,84.8,"NW",10,1012.9,0,20,NA,NA,NA,NA,NA,NA
47582,2021-09-18,20.7,24.9,18.9,18.6,89.5,"E",9.7,1009.8,27.5,12.7,NA,NA,NA,NA,NA,NA
47582,2021-09-17,20.4,25.7,17.6,13,62.7,"ESE",20.9,1015.3,0,20,NA,NA,NA,NA,NA,NA
47582,2021-09-16,20.8,26.6,16,13.4,64.2,"ESE",14.9,1017.1,0,20,NA,NA,NA,NA,NA,NA
47582,2021-09-15,20,25.9,15.3,14.7,73.2,"N",8.9,1016.5,0,20,NA,NA,NA,NA,NA,NA
47582,2021-09-14,19.6,25,15.7,14.1,72.2,"E",8.5,1019.4,0,20,NA,NA,NA,NA,NA,NA
47582,2021-09-13,22.9,27.4,20.3,15.2,63.1,"WNW",22.1,1013.9,2,19.8,NA,NA,NA,NA,NA,NA
47582,2021-09-12,23.6,26.8,20.3,19.9,79.9,"SSW",15.8,1011,NA,20,NA,NA,NA,NA,NA,NA
47582,2021-09-11,22.7,26.9,18.9,18.7,79.2,"W",10.3,1013.1,0,20,NA,NA,NA,NA,NA,NA
47582,2021-09-10,22.8,26.8,19,19.8,84.4,"W",8.8,1013.9,0,17.4,NA,NA,NA,NA,NA,NA
47582,2021-09-09,20.4,26.7,17.8,18.2,86.1,"SSE",17.3,1011.2,8,18.3,NA,NA,NA,NA,NA,NA
47582,2021-09-08,20,26.2,17.7,11.8,61.1,"ESE",24.6,1013.7,NA,19.4,NA,NA,NA,NA,NA,NA
47582,2021-09-07,19.9,26.5,13.4,12.5,64.7,"ESE",9.7,1017.8,0,20,NA,NA,NA,NA,NA,NA
