"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","PresslevHp","Precmm","TotClOct","lowClOct","VisKm","WindkmhGust","PreselevHp","SunD1h","SnowDepcm"
47184,2021-09-30,24.5,30.2,22,22.5,90.1,"NE",8.4,1007.8,NA,7.1,6.9,22.3,NA,NA,NA,NA
47184,2021-09-29,25.8,29.4,23.2,22.8,83.8,"ENE",6.5,1010,0,4,3.6,24.6,NA,NA,NA,NA
47184,2021-09-28,24.7,27.6,23.2,21.7,83.5,"E",12.5,1013.1,0,5.3,3.5,27.7,NA,NA,NA,NA
47184,2021-09-27,24.2,28.1,22,19.8,77.4,"E",12.2,1016.4,0,5.8,4.4,31.7,NA,NA,NA,NA
47184,2021-09-26,24.6,28.3,22.6,20.8,79.6,"E",12.8,1019.2,0,5.4,3.6,29.1,NA,NA,NA,NA
47184,2021-09-25,24.1,28.1,22,20.1,79.3,"E",13.4,1020.6,0,4.9,4.4,32.1,NA,NA,NA,NA
47184,2021-09-24,23.2,29.2,19,17.9,72.8,"ENE",9,1020.5,0,2.6,2,44.5,NA,NA,NA,NA
47184,2021-09-23,26.6,31.5,23.6,21.2,74.1,"NW",10.2,1015.3,0,2.9,2.4,26.1,NA,NA,NA,NA
47184,2021-09-22,26.1,31.5,21.4,19.9,69.1,"W",12.6,1009.7,0,1,1.7,32.8,NA,NA,NA,NA
47184,2021-09-21,26.1,31.9,22.2,22.3,80.8,"WNW",9.8,1008.5,NA,5.4,4.3,30.9,NA,NA,NA,NA
47184,2021-09-20,25.3,31.2,22.4,21,77.4,"ENE",9.2,1013.1,0,2.3,2.5,33.9,NA,NA,NA,NA
47184,2021-09-19,24.4,27.1,21.8,20.3,78.6,"E",11.3,1015.5,0,2.7,3.3,39.2,NA,NA,NA,NA
47184,2021-09-18,24.2,29,22.7,22,88.4,"NW",10.5,1011.2,NA,6.2,7.4,34.6,NA,NA,NA,NA
47184,2021-09-17,23.2,25.6,22.2,22.8,97.3,"NE",30.2,1002.6,NA,7.8,NA,7.6,NA,NA,NA,NA
47184,2021-09-16,23.3,24.2,21.8,20.9,86.8,"E",18.5,1010.5,20,7.3,7.1,14,NA,NA,NA,NA
47184,2021-09-15,23.3,24.3,22.2,22.3,94.4,"ENE",24.2,1009.7,NA,8,8,7.7,NA,NA,NA,NA
