"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","PresslevHp","Precmm","VisKm","WindkmhGust","PreselevHp","SunD1h","SnowDepcm","TotClOct","lowClOct"
47830,2021-09-30,25.6,28.9,23,22.1,82.2,"NE",12.8,1007.6,3.5,15,NA,NA,NA,NA,NA,NA
47830,2021-09-29,25.1,28.8,22.9,23,88.3,"NE",12.7,1011.5,22,13.7,NA,NA,NA,NA,NA,NA
47830,2021-09-28,23.9,26.9,22.4,22.8,93.3,"NE",15.4,1012.4,89,9.5,NA,NA,NA,NA,NA,NA
47830,2021-09-27,24.1,29,20.5,21,84.1,"NNE",11.2,1013.9,NA,16.6,NA,NA,NA,NA,NA,NA
47830,2021-09-26,24.6,28.3,20.3,20.6,79.1,"NE",9.7,1018,NA,19,NA,NA,NA,NA,NA,NA
47830,2021-09-25,23.3,28,18.4,19.1,79.4,"NNE",10.9,1019.5,0,18,NA,NA,NA,NA,NA,NA
47830,2021-09-24,24.6,33.6,21,20.5,79.6,"NNE",9.8,1017.9,0,16.7,NA,NA,NA,NA,NA,NA
47830,2021-09-23,25.7,32.9,18.6,18.4,67.4,"W",12.3,1014.3,0,20,NA,NA,NA,NA,NA,NA
47830,2021-09-22,26.8,32.5,23.5,23.4,83.1,"WSW",9.2,1010.2,NA,19,NA,NA,NA,NA,NA,NA
47830,2021-09-21,26.1,29.6,22.7,23,83.8,"E",10.8,1012.2,17,16.7,NA,NA,NA,NA,NA,NA
47830,2021-09-20,24.7,29,20.6,21.3,82.2,"ENE",9,1013.3,0,19.3,NA,NA,NA,NA,NA,NA
47830,2021-09-19,26.1,33.4,22.6,21.5,77.1,"E",9,1011.8,0,20,NA,NA,NA,NA,NA,NA
47830,2021-09-18,27.9,33.2,24.5,22.2,72.7,"WSW",21.9,1006.7,NA,19.8,NA,NA,NA,NA,NA,NA
47830,2021-09-17,25.9,31.3,23.5,24.8,93.4,"SE",8.5,1008.5,70,10.2,NA,NA,NA,NA,NA,NA
47830,2021-09-16,24.1,27,23.1,23.5,96.4,"NNE",11.7,1011.5,219.5,9.2,NA,NA,NA,NA,NA,NA
47830,2021-09-15,23.7,26.6,22.2,22.8,94.5,"NNE",10.1,1011.6,45,10.2,NA,NA,NA,NA,NA,NA
