"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","PresslevHp","Precmm","VisKm","WindkmhGust","PreselevHp","SunD1h","SnowDepcm","TotClOct","lowClOct"
47780,2021-09-30,24.4,29.1,21.7,18.8,72.4,"E",11.3,1009.7,NA,20,NA,NA,NA,NA,NA,NA
47780,2021-09-29,24.5,28.4,21.4,18.3,68.9,"E",8.5,1013.7,NA,20,NA,NA,NA,NA,NA,NA
47780,2021-09-28,23,27.9,19,17.2,71.2,"ENE",7.6,1014.9,0,20,NA,NA,NA,NA,NA,NA
47780,2021-09-27,21.1,27.4,17.8,16.5,75.7,"NE",8.9,1016.8,1,19.8,NA,NA,NA,NA,NA,NA
47780,2021-09-26,21.8,29.8,19.8,19,86.3,"E",8.9,1020.2,15,13.8,NA,NA,NA,NA,NA,NA
47780,2021-09-25,22.7,29,17.7,17.1,72.5,"ENE",7.1,1020.6,0,20,NA,NA,NA,NA,NA,NA
47780,2021-09-24,24,30,19.2,17.4,68.6,"N",6.9,1018,0,20,NA,NA,NA,NA,NA,NA
47780,2021-09-23,24,30.6,19.4,20.3,82.6,"SSW",8,1013.2,13,13.8,NA,NA,NA,NA,NA,NA
47780,2021-09-22,24.4,29.8,21.4,20.5,78.8,"ENE",8,1010.6,11,19.8,NA,NA,NA,NA,NA,NA
47780,2021-09-21,24.5,30.8,21,17.9,67.9,"E",10.6,1014.2,NA,20,NA,NA,NA,NA,NA,NA
47780,2021-09-20,24.6,30.1,21.1,19.4,74.3,"NNE",6.3,1014.2,0,20,NA,NA,NA,NA,NA,NA
47780,2021-09-19,24.6,29.7,20.7,19.2,73.9,"NNW",7.1,1011.2,NA,20,NA,NA,NA,NA,NA,NA
47780,2021-09-18,24,29.5,22.1,21.9,88.8,"NNW",8.6,1006.1,22,15.6,NA,NA,NA,NA,NA,NA
47780,2021-09-17,24.2,28.6,22.9,19.3,75.2,"E",7.5,1013,3,18.7,NA,NA,NA,NA,NA,NA
47780,2021-09-16,22.5,28.2,18.5,18.5,79.1,"ENE",6,1013.8,0,20,NA,NA,NA,NA,NA,NA
47780,2021-09-15,21.9,25.8,20.4,20.3,90.9,"N",5.6,1014.3,8,12.9,NA,NA,NA,NA,NA,NA
47780,2021-09-14,22,28.2,19.5,18.2,81.1,"NNE",4.7,1017.8,5,17.4,NA,NA,NA,NA,NA,NA
47780,2021-09-13,23.5,27.8,21,20.9,86.1,"NNE",4.1,1015.7,NA,15.4,NA,NA,NA,NA,NA,NA
47780,2021-09-12,24.1,28.5,22.6,21.2,85,"SE",4.8,1012.2,10,16.1,NA,NA,NA,NA,NA,NA
47780,2021-09-11,25.4,32,21.5,19.9,73.9,"S",5.3,1013.2,9,18.6,NA,NA,NA,NA,NA,NA
47780,2021-09-10,24.1,30.8,18.7,18.7,74.1,"NNW",4.8,1013.5,0,20,NA,NA,NA,NA,NA,NA
47780,2021-09-09,24.1,28.5,21.5,20.6,81.4,"NNE",6.7,1011.5,6,17.4,NA,NA,NA,NA,NA,NA
47780,2021-09-08,24.3,28.8,22.5,19.1,72.9,"E",7.2,1012.1,0.5,19.5,NA,NA,NA,NA,NA,NA
47780,2021-09-07,23.7,30.8,18.7,17.7,72.2,"NE",6.8,1014.3,0,20,NA,NA,NA,NA,NA,NA
47780,2021-09-06,25.1,30.4,20.8,19.3,72.3,"N",5.9,1015.2,0,20,NA,NA,NA,NA,NA,NA
47780,2021-09-05,24.1,30,20.7,20.9,83.5,"NNW",4.8,1014.2,0,19.9,NA,NA,NA,NA,NA,NA
47780,2021-09-04,22.7,25.9,21,21.6,93.6,"NE",4.9,1010.1,13.5,18,NA,NA,NA,NA,NA,NA
47780,2021-09-03,22.7,25.6,21.8,21.9,95.9,"NNW",5.7,1008.5,51,12.2,NA,NA,NA,NA,NA,NA
47780,2021-09-02,26.4,30.6,23.9,22.8,82.5,"SSW",6.8,1008,NA,12.5,NA,NA,NA,NA,NA,NA
47780,2021-09-01,27.2,33.5,22.5,19.9,65.5,"N",6,1012.3,0,19.9,NA,NA,NA,NA,NA,NA
47780,2021-08-31,29.3,35.1,25.7,21.2,63.8,"NNW",6.8,1014.2,0,20,NA,NA,NA,NA,NA,NA
47780,2021-08-30,29.1,34.7,24.1,22.2,68.1,"SSW",6.6,1013.6,NA,13.8,NA,NA,NA,NA,NA,NA
47780,2021-08-29,29.1,33.8,25.3,22.4,68.5,"WSW",6,1012.7,0,20,NA,NA,NA,NA,NA,NA
47780,2021-08-28,28.7,34.3,24.4,19.4,59.5,"SSW",8.5,1013.2,0,19.6,NA,NA,NA,NA,NA,NA
47780,2021-08-27,29.4,34,25.9,21.7,65.6,"SSW",8.3,1013.5,0,20,NA,NA,NA,NA,NA,NA
47780,2021-08-26,29,34.7,24.8,23.3,73.4,"WSW",6.9,1012.9,0,18.9,NA,NA,NA,NA,NA,NA
47780,2021-08-25,28.5,34.1,25.4,22.5,71.9,"S",7.1,1009.8,NA,20,NA,NA,NA,NA,NA,NA
47780,2021-08-24,27.9,32.7,23.9,22.2,73.4,"SSW",6.3,1010.2,0,20,NA,NA,NA,NA,NA,NA
47780,2021-08-23,27.4,34.3,24.2,23.3,80.2,"SW",6.7,1012.2,0.5,19.7,NA,NA,NA,NA,NA,NA
47780,2021-08-22,26.2,33.6,22.8,22.9,83.1,"S",5.4,1013,1,18.3,NA,NA,NA,NA,NA,NA
47780,2021-08-21,23.4,30.9,21,21.8,90.3,"E",4.2,1016,2.5,19.4,NA,NA,NA,NA,NA,NA
47780,2021-08-20,23.1,30.2,20.2,21.1,89.4,"SSE",4.8,1016.8,16,18.8,NA,NA,NA,NA,NA,NA
47780,2021-08-19,23.6,31.2,21.1,21.7,90.9,"SE",6.9,1013.4,67,15.4,NA,NA,NA,NA,NA,NA
47780,2021-08-18,24.3,30,22.5,22.6,90.4,"SSE",7.1,1010,40,13.4,NA,NA,NA,NA,NA,NA
47780,2021-08-17,24.5,27.8,22.7,22.4,89.1,"NE",4.5,1013.4,NA,18.2,NA,NA,NA,NA,NA,NA
47780,2021-08-16,23.9,27.8,21.2,20.6,82.8,"NNE",4.3,1014,NA,19.7,NA,NA,NA,NA,NA,NA
47780,2021-08-15,24.2,29.5,21.2,22.3,90.5,"NW",8.1,1007.6,21,15.5,NA,NA,NA,NA,NA,NA
47780,2021-08-14,24.9,29.3,23.6,23.9,93.4,"S",10.1,1005.3,44,15,NA,NA,NA,NA,NA,NA
47780,2021-08-13,23.5,25.7,22.5,22.6,95,"SSE",5.5,1009.8,16,16.5,NA,NA,NA,NA,NA,NA
47780,2021-08-12,25.7,32.6,23.3,22,81.8,"S",6.3,1012.6,74,14.2,NA,NA,NA,NA,NA,NA
47780,2021-08-11,26.9,32,22.3,20.4,68.2,"N",6.9,1011.4,NA,20,NA,NA,NA,NA,NA,NA
47780,2021-08-10,27.4,32.8,24.7,21,69,"WSW",16.7,1003.5,NA,20,NA,NA,NA,NA,NA,NA
47780,2021-08-09,29.8,36.2,25.5,23.2,69.5,"SSW",14.7,996.3,13,18.3,NA,NA,NA,NA,NA,NA
47780,2021-08-08,29.2,35.8,25.2,23.2,71.2,"SSE",8.4,1002.3,NA,20,NA,NA,NA,NA,NA,NA
47780,2021-08-07,29.1,33.8,25.8,23.4,72.7,"ENE",10.2,1003.5,0.5,19.9,NA,NA,NA,NA,NA,NA
47780,2021-08-06,29.3,37.1,25.4,21.1,63.3,"ENE",10.3,1004.8,NA,19.9,NA,NA,NA,NA,NA,NA
47780,2021-08-05,30.3,36.3,25.2,23.6,68.8,"NE",6.5,1007.6,0,20,NA,NA,NA,NA,NA,NA
47780,2021-08-04,27.7,35.4,23.7,23.6,79.6,"NE",4.2,1011.5,3,20,NA,NA,NA,NA,NA,NA
47780,2021-08-03,28.2,34.5,24.4,23.2,76.4,"ESE",9.7,1007.8,6,16.5,NA,NA,NA,NA,NA,NA
47780,2021-08-02,28.5,34,24.1,22.2,70.7,"ESE",5.5,1004.8,NA,19.6,NA,NA,NA,NA,NA,NA
47780,2021-08-01,27.7,36,23.7,22.7,77,"ENE",6.2,1002.1,3,15.3,NA,NA,NA,NA,NA,NA
47780,2021-07-31,29.5,35.1,24.4,21.5,64.4,"NNW",6,1001.4,NA,19.6,NA,NA,NA,NA,NA,NA
47780,2021-07-30,29.2,34.8,25.6,21.7,66,"WSW",6.3,1001.5,NA,20,NA,NA,NA,NA,NA,NA
47780,2021-07-29,28.4,34.6,23.7,21.6,68.5,"SSW",6.1,1001.9,NA,19.4,NA,NA,NA,NA,NA,NA
47780,2021-07-28,28.2,33.9,23.4,20.6,64.7,"N",6.7,1000.8,NA,20,NA,NA,NA,NA,NA,NA
47780,2021-07-27,29,35.5,23.9,20.4,62.4,"WNW",9.2,1001,0,20,NA,NA,NA,NA,NA,NA
47780,2021-07-26,28.6,34.3,23.9,20.7,64.3,"E",7.2,1006.9,0,20,NA,NA,NA,NA,NA,NA
47780,2021-07-25,29.1,34.9,24.6,21.9,67.1,"ENE",7.7,1009.3,NA,20,NA,NA,NA,NA,NA,NA
47780,2021-07-24,29.1,34.9,24,21.9,67.2,"ENE",7.5,1009.8,0,20,NA,NA,NA,NA,NA,NA
47780,2021-07-23,28.7,34.6,22.7,20.5,62.7,"ENE",8,1010.6,0,20,NA,NA,NA,NA,NA,NA
47780,2021-07-22,28.9,34.8,23.7,20.4,60.6,"ENE",11.1,1012.3,0,20,NA,NA,NA,NA,NA,NA
47780,2021-07-21,28.5,35.3,22.6,20.4,63.6,"E",7.5,1013.6,NA,20,NA,NA,NA,NA,NA,NA
47780,2021-07-20,29.2,35.4,24.2,22.3,69,"NNE",7.7,1014.9,NA,20,NA,NA,NA,NA,NA,NA
