"restab.year","restab.chill_days","restab.heat_days"
1946,139,38
1947,135,60
1948,141,38
1949,116,61
1950,125,69
1951,141,49
1952,134,62
1953,106,64
1954,118,62
1955,105,70
1956,130,59
1957,132,57
1958,124,77
1959,153,39
1960,119,76
1961,151,46
1962,138,54
1963,130,55
1964,135,60
1965,118,79
1966,133,56
1967,121,67
1968,120,61
1969,129,63
1970,129,71
1971,147,48
1972,137,57
1973,121,55
1974,124,53
1975,109,70
1976,129,30
1977,141,31
1978,164,28
1979,148,34
1980,135,50
1981,139,41
1982,148,49
1983,124,55
1984,146,52
1985,152,36
1986,157,28
1987,122,64
1988,117,66
1989,110,70
1990,136,32
1991,116,57
1992,124,63
1993,116,78
1994,137,51
1995,141,45
1996,132,55
1997,125,53
1998,108,72
1999,136,53
2000,142,34
2001,132,59
2002,133,48
2003,130,57
2004,148,40
2005,155,38
2006,122,60
2007,121,63
2008,131,53
2009,129,55
2010,152,30
2011,144,48
2012,122,45
2013,112,79
2014,141,48
2015,127,62
2016,159,21
2017,141,36
2018,142,46
2019,126,55
2020,119,48
2021,128,50
