location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Wakkanai,45.415,141.6788889,2.85,1953,5/30/1953,150
Japan/Wakkanai,45.415,141.6788889,2.85,1954,5/27/1954,147
Japan/Wakkanai,45.415,141.6788889,2.85,1955,5/23/1955,143
Japan/Wakkanai,45.415,141.6788889,2.85,1956,5/14/1956,135
Japan/Wakkanai,45.415,141.6788889,2.85,1957,5/22/1957,142
Japan/Wakkanai,45.415,141.6788889,2.85,1958,5/25/1958,145
Japan/Wakkanai,45.415,141.6788889,2.85,1959,5/12/1959,132
Japan/Wakkanai,45.415,141.6788889,2.85,1960,5/24/1960,145
Japan/Wakkanai,45.415,141.6788889,2.85,1961,5/18/1961,138
Japan/Wakkanai,45.415,141.6788889,2.85,1962,5/17/1962,137
Japan/Wakkanai,45.415,141.6788889,2.85,1963,5/15/1963,135
Japan/Wakkanai,45.415,141.6788889,2.85,1965,5/22/1965,142
Japan/Wakkanai,45.415,141.6788889,2.85,1974,5/22/1974,142
Japan/Wakkanai,45.415,141.6788889,2.85,1975,5/22/1975,142
Japan/Wakkanai,45.415,141.6788889,2.85,1976,5/23/1976,144
Japan/Wakkanai,45.415,141.6788889,2.85,1977,5/26/1977,146
Japan/Wakkanai,45.415,141.6788889,2.85,1978,5/19/1978,139
Japan/Wakkanai,45.415,141.6788889,2.85,1979,5/26/1979,146
Japan/Wakkanai,45.415,141.6788889,2.85,1980,5/27/1980,148
Japan/Wakkanai,45.415,141.6788889,2.85,1981,5/15/1981,135
Japan/Wakkanai,45.415,141.6788889,2.85,1982,5/18/1982,138
Japan/Wakkanai,45.415,141.6788889,2.85,1983,5/12/1983,132
Japan/Wakkanai,45.415,141.6788889,2.85,1984,5/26/1984,147
Japan/Wakkanai,45.415,141.6788889,2.85,1985,5/17/1985,137
Japan/Wakkanai,45.415,141.6788889,2.85,1986,5/18/1986,138
Japan/Wakkanai,45.415,141.6788889,2.85,1987,5/19/1987,139
Japan/Wakkanai,45.415,141.6788889,2.85,1988,5/20/1988,141
Japan/Wakkanai,45.415,141.6788889,2.85,1989,5/19/1989,139
Japan/Wakkanai,45.415,141.6788889,2.85,1990,5/9/1990,129
Japan/Wakkanai,45.415,141.6788889,2.85,1991,5/18/1991,138
Japan/Wakkanai,45.415,141.6788889,2.85,1992,5/19/1992,140
Japan/Wakkanai,45.415,141.6788889,2.85,1993,5/18/1993,138
Japan/Wakkanai,45.415,141.6788889,2.85,1994,5/19/1994,139
Japan/Wakkanai,45.415,141.6788889,2.85,1995,5/11/1995,131
Japan/Wakkanai,45.415,141.6788889,2.85,1996,5/25/1996,146
Japan/Wakkanai,45.415,141.6788889,2.85,1997,5/22/1997,142
Japan/Wakkanai,45.415,141.6788889,2.85,1998,5/14/1998,134
Japan/Wakkanai,45.415,141.6788889,2.85,1999,5/18/1999,138
Japan/Wakkanai,45.415,141.6788889,2.85,2000,5/21/2000,142
Japan/Wakkanai,45.415,141.6788889,2.85,2001,5/19/2001,139
Japan/Wakkanai,45.415,141.6788889,2.85,2002,5/2/2002,122
Japan/Wakkanai,45.415,141.6788889,2.85,2003,5/14/2003,134
Japan/Wakkanai,45.415,141.6788889,2.85,2004,5/12/2004,133
Japan/Wakkanai,45.415,141.6788889,2.85,2005,5/28/2005,148
Japan/Wakkanai,45.415,141.6788889,2.85,2006,5/20/2006,140
Japan/Wakkanai,45.415,141.6788889,2.85,2007,5/17/2007,137
Japan/Wakkanai,45.415,141.6788889,2.85,2008,5/5/2008,126
Japan/Wakkanai,45.415,141.6788889,2.85,2009,5/12/2009,132
Japan/Wakkanai,45.415,141.6788889,2.85,2010,5/25/2010,145
Japan/Wakkanai,45.415,141.6788889,2.85,2011,5/25/2011,145
Japan/Wakkanai,45.415,141.6788889,2.85,2012,5/18/2012,139
Japan/Wakkanai,45.415,141.6788889,2.85,2013,5/28/2013,148
Japan/Wakkanai,45.415,141.6788889,2.85,2014,5/13/2014,133
Japan/Wakkanai,45.415,141.6788889,2.85,2015,5/6/2015,126
Japan/Wakkanai,45.415,141.6788889,2.85,2016,5/15/2016,136
Japan/Wakkanai,45.415,141.6788889,2.85,2017,5/11/2017,131
Japan/Wakkanai,45.415,141.6788889,2.85,2018,5/15/2018,135
Japan/Wakkanai,45.415,141.6788889,2.85,2019,5/9/2019,129
Japan/Wakkanai,45.415,141.6788889,2.85,2020,5/12/2020,133
Japan/Wakkanai,45.415,141.6788889,2.85,2021,5/11/2021,131
Japan/Rumoi,43.94611111,141.6319444,23.6,1953,5/13/1953,133
Japan/Rumoi,43.94611111,141.6319444,23.6,1954,5/17/1954,137
Japan/Rumoi,43.94611111,141.6319444,23.6,1955,5/16/1955,136
Japan/Rumoi,43.94611111,141.6319444,23.6,1956,5/14/1956,135
Japan/Rumoi,43.94611111,141.6319444,23.6,1957,5/14/1957,134
Japan/Rumoi,43.94611111,141.6319444,23.6,1958,5/16/1958,136
Japan/Rumoi,43.94611111,141.6319444,23.6,1961,5/13/1961,133
Japan/Rumoi,43.94611111,141.6319444,23.6,1962,5/16/1962,136
Japan/Rumoi,43.94611111,141.6319444,23.6,1963,5/17/1963,137
Japan/Rumoi,43.94611111,141.6319444,23.6,1964,5/11/1964,132
Japan/Rumoi,43.94611111,141.6319444,23.6,1965,5/23/1965,143
Japan/Rumoi,43.94611111,141.6319444,23.6,1966,5/20/1966,140
Japan/Rumoi,43.94611111,141.6319444,23.6,1967,5/19/1967,139
Japan/Rumoi,43.94611111,141.6319444,23.6,1968,5/11/1968,132
Japan/Rumoi,43.94611111,141.6319444,23.6,1969,5/18/1969,138
Japan/Rumoi,43.94611111,141.6319444,23.6,1970,5/11/1970,131
Japan/Rumoi,43.94611111,141.6319444,23.6,1971,5/21/1971,141
Japan/Rumoi,43.94611111,141.6319444,23.6,1973,5/18/1973,138
Japan/Rumoi,43.94611111,141.6319444,23.6,1974,5/18/1974,138
Japan/Rumoi,43.94611111,141.6319444,23.6,1975,5/12/1975,132
Japan/Rumoi,43.94611111,141.6319444,23.6,1976,5/16/1976,137
Japan/Rumoi,43.94611111,141.6319444,23.6,1977,5/16/1977,136
Japan/Rumoi,43.94611111,141.6319444,23.6,1978,5/14/1978,134
Japan/Rumoi,43.94611111,141.6319444,23.6,1979,5/20/1979,140
Japan/Rumoi,43.94611111,141.6319444,23.6,1980,5/22/1980,143
Japan/Rumoi,43.94611111,141.6319444,23.6,1981,5/13/1981,133
Japan/Rumoi,43.94611111,141.6319444,23.6,1982,5/12/1982,132
Japan/Rumoi,43.94611111,141.6319444,23.6,1983,5/3/1983,123
Japan/Rumoi,43.94611111,141.6319444,23.6,1984,5/23/1984,144
Japan/Rumoi,43.94611111,141.6319444,23.6,1985,5/13/1985,133
Japan/Rumoi,43.94611111,141.6319444,23.6,1986,5/11/1986,131
Japan/Rumoi,43.94611111,141.6319444,23.6,1987,5/15/1987,135
Japan/Rumoi,43.94611111,141.6319444,23.6,1988,5/12/1988,133
Japan/Rumoi,43.94611111,141.6319444,23.6,1989,5/7/1989,127
Japan/Rumoi,43.94611111,141.6319444,23.6,1990,5/1/1990,121
Japan/Rumoi,43.94611111,141.6319444,23.6,1991,5/11/1991,131
