location,lat,long,alt
WAKKANAI,45.415,141.6788889,2.85
RUMOI,43.94611111,141.6319444,23.6
ASAHIKAWA,43.75694444,142.3722222,119.8
ABASHIRI,44.01777778,144.2797222,37.58
SAPPORO,43.06,141.3286111,17.45
IWAMIZAWA,43.21166667,141.7858333,42.3
OBIHIRO,42.92222222,143.2119444,38.4
KUSHIRO,42.98583333,144.3777778,4.5
KUSHIRO,42.95305556,144.4375,14.05
NEMURO,43.33055556,145.5855556,25.2
MURORAN,42.31166667,140.9752778,39.89
MURORAN,42.32361111,140.97,3
URAKAWA,42.1625,142.7769444,36.74
ESASHI,41.86722222,140.1238889,3.72
HAKODATE,41.81666667,140.7541667,35
KUTCHAN,42.90111111,140.7580556,176.1
MOMBETSU,44.345,143.3552778,15.8
HIROO,42.29444444,143.3166667,32.4
SHINJO,38.75694444,140.3122222,105.1
AOMORI,40.82166667,140.7688889,2.8
HACHINOHE,40.52722222,141.5216667,27.1
AKITA,39.7175,140.0991667,6.3
MORIOKA,39.69833333,141.1661111,155.2
MIYAKO,39.64694444,141.9658333,42.47
SAKATA,38.90861111,139.8433333,3.14
YAMAGATA,38.25555556,140.3461111,152.5
SENDAI,38.26194444,140.8966667,38.85
SENDAI,38.26222222,140.8966667,37.9
FUKUSHIMA,37.75944444,140.4708333,67.44
SHIRAKAWA,37.13166667,140.215,354.95
ONAHAMA,36.9475,140.9033333,3.3
WAJIMA,37.39138889,136.8952778,5.16
AIKAWA,38.02916667,138.24,5.5
NIIGATA,37.89361111,139.0188889,4.1
KANAZAWA,36.58972222,136.6347222,5.7
TOYAMA,36.70944444,137.2025,8.6
NAGANO,36.66277778,138.1925,418.2
TAKADA,37.10666667,138.2466667,12.9
UTSUNOMIYA,36.54972222,139.8683333,119.4
FUKUI,36.05555556,136.2225,8.8
TAKAYAMA,36.15611111,137.2533333,560
MATSUMOTO,36.24666667,137.9705556,610
MAEBASHI,36.40527778,139.0605556,112.1
KUMAGAYA,36.15,139.38,30
MITO,36.38111111,140.4680556,29
TSURUGA,35.65333333,136.0622222,1.6
GIFU,35.40027778,136.7625,12.7
NAGOYA,35.16777778,136.9655556,51.1
NAGOYA,35.16833333,136.9647222,51.1
IIDA,35.52333333,137.8225,516.4
KOFU,35.66722222,138.5538889,272.8
CHOSHI,35.73972222,140.8572222,20.1
TSU,34.73416667,136.5197222,2.7
HAMAMATSU,34.75388889,137.7116667,45.93
SHIZUOKA,34.97611111,138.4038889,14.1
TOKYO,35.69166667,139.7511111,25.2
OWASE,34.06972222,136.1933333,15.3
YOKOHAMA,35.43972222,139.6525,39.1
TATEYAMA,34.98694444,139.8652778,5.8
OSHIMA,34.74944444,139.3630556,74
MIYAKEJIMA,34.12388889,139.5213889,37.7
HACHIJOJIMA,33.12166667,139.7791667,151.21
SAIGO,36.20444444,133.3338889,26.5
MATSUE,35.45722222,133.0655556,16.9
YONAGO,35.43472222,133.3386111,6.5
TOTTORI,35.48777778,134.2383333,7.1
TOTTORI,35.53083333,134.1994444,6
TOYOOKA,35.53583333,134.8222222,3.4
MAIZURU,35.45027778,135.3180556,2.42
HAMADA,34.89666667,132.0705556,19
KYOTO,35.01472222,135.7327778,40.81
HIKONE,35.27611111,136.2438889,87.3
SHIMONOSEKI,33.94861111,130.9261111,3.3
HIROSHIMA,34.39861111,132.4627778,3.6
OKAYAMA,34.68583333,133.9252778,5.32
KOBE,34.69694444,135.2127778,5.3
OSAKA,34.68222222,135.5191667,23
SUMOTO,34.33833333,134.905,109.3
WAKAYAMA,34.22888889,135.1641667,13.9
SHIONOMISAKI,33.45027778,135.7572222,67.53
NARA,34.69388889,135.8277778,104.4
IZUHARA,34.19777778,129.2919444,3.65
IZUHARA,34.15333333,129.2227778,130
FUKUOKA,33.58222222,130.3763889,2.5
SAGA,33.26638889,130.3052778,5.47
OITA,33.23611111,131.6191667,4.6
NAGASAKI,32.73416667,129.8680556,26.9
KUMAMOTO,32.81361111,130.7069444,37.72
NOBEOKA,32.58194444,131.6580556,19.2
KAGOSHIMA,31.555,130.5480556,3.9
MIYAZAKI,31.93833333,131.4141667,9.2
YAKUSHIMA,30.38555556,130.6591667,37.3
YAKUSHIMA,30.38305556,130.6591667,36
TANEGASHIMA,30.72027778,130.9825,24.9
FUKUE,32.69472222,128.8269444,25.1
MATSUYAMA,33.84361111,132.7775,32.16
TAKAMATSU,34.31805556,134.0544444,8.7
UWAJIMA,33.22777778,132.5530556,2.4
KOCHI,33.56805556,133.5494444,0.5
KOCHI,33.56833333,133.5491667,3
TOKUSHIMA,34.06777778,134.5733333,1.6
NAZE,28.37972222,129.4955556,2.8
NAZEFUNCHATOGE,28.39416667,129.5527778,294.1
YONAGUNIJIMA,24.46666667,123.0105556,30
IRIOMOTEJIMA,24.42777778,123.7655556,9.9
ISHIGAKIJIMA,24.33666667,124.1644444,5.7
MIYAKOJIMA,24.79444444,125.2783333,39.9
KUMEJIMA,26.33805556,126.8038889,5
NAHA,26.20722222,127.6872222,28.06
NAGO,26.59416667,127.9663889,6.1
MINAMIDAITOJIMA,25.82888889,131.2286111,15.3
