date,tavg,tmax,tmin
38990,22.3,27.1,18.1
38989,20.8,26.9,15.5
38988,21.8,27.1,17.6
38987,21.7,27.3,18.1
38986,21.8,28.2,17.1
38985,21.1,27.2,16.4
38984,20.1,27.1,15.4
38983,21.6,27.9,16.7
38982,23.2,28.9,19
38981,22.3,28.6,17.1
38980,22.2,28,16.5
38979,25.4,31.3,22.3
38978,27.1,30.9,24.2
38977,24.6,30,22.2
38976,24.1,29.1,21.7
38975,22.7,28.6,18.1
38974,20.4,25.7,17.7
38973,21.6,26.1,18.9
38972,24.1,28.5,22.1
38971,24.3,30.6,21.8
38970,28.3,33.7,25.4
38969,29.4,34.1,24.9
38968,25.9,33.4,23
38967,23.5,27.4,21.8
38966,23.5,28.8,20.5
38965,26.5,33.4,22.5
38964,26.1,32.2,21.4
38963,26.5,32,21.4
38962,25.3,31.2,20.1
38961,24.9,32.6,21.6
38960,26.9,32.3,22.2
38959,26.6,31.9,22.9
38958,28,32.7,25.2
38957,26.8,33.4,23.7
38956,28.2,35.4,25.8
38955,29.5,35.1,24
38954,29,36.2,23.4
38953,27.5,34.7,21.8
38952,28.8,34.1,24.4
38951,30.3,35.6,26.9
38950,30.7,35.6,26.4
38949,30.5,35.2,28
38948,29.6,33.8,26.3
38947,29.8,32.8,27.1
38946,30.4,35,27.6
38945,31.1,37.6,26.7
38944,30.3,36.9,24.6
38943,28.8,34.7,25.2
38942,27.7,35.6,24.3
38941,30.3,36.5,26.4
38940,30.8,37.5,25
38939,29.6,36.8,23.7
38938,30.4,35.1,26.7
38937,30.5,36,28
38936,31,38,25.7
38935,30.1,37.1,23.5
38934,30.3,36.4,24.3
38933,29.8,35.9,24.9
38932,29.6,34.2,25.8
38931,28.9,33.4,25.2
38930,27.7,32.6,24.9
38929,27.6,34,24.2
38928,27.8,33,24.3
38927,27.7,35.6,23.5
38926,29.1,35.5,24.3
38925,30,35.1,25
38924,28.1,33.8,24.1
38923,26.2,29.8,23.5
38922,24.2,28.4,22
38921,26.9,32.2,24.2
38920,25.4,31.3,22.3
38919,21.4,25.1,20.5
38918,23.2,27.6,21.2
38917,24.4,26.5,21.4
38916,22,25.4,20.9
38915,24.6,31.8,22.7
38914,26.8,33.5,23.5
38913,28.2,34.9,24.4
38912,29.1,33.3,25.7
38911,29.1,32.6,26.2
38910,28.6,31.2,26
38909,27.8,31,25.6
38908,28.3,32.6,25
38907,28.4,32.5,25.8
38906,27.2,32.2,23.7
38905,24,28.7,21.2
38904,25.2,28.7,23.2
38903,24.9,30.7,21.6
38902,24.4,30.4,19.9
38901,24,30.1,21.4
38900,24.6,28.3,22.2
38899,26.3,31,22.6
38898,27.6,33.5,24.1
38897,26.8,32.4,21.8
38896,26.5,31.5,22.2
38895,23.8,31.3,21.1
38894,20.9,23.3,19.1
38893,23.4,30.1,20.3
38892,23.8,29.9,18.9
38891,21.7,25.7,20
38890,25.1,31.9,21.7
38889,26.3,32.2,20.9
38888,25.5,31.5,19.3
38887,25.2,30.7,20.3
38886,22.4,28.6,20.4
38885,23,31,17.8
38884,22.7,29.8,20
38883,24,31.4,21.4
38882,23.9,31.2,16.7
38881,24.6,30.3,20.3
38880,22.3,28,17.5
38879,21.7,25.2,19.8
38878,20.5,24.9,16.7
38877,19.9,24.5,16.9
38876,23.1,29.1,19.6
38875,21.6,28.9,14.9
38874,24.1,30.2,19.2
38873,23.9,29.1,19.3
38872,23,28.9,18.7
38871,22,28.3,17
38870,22.8,31.7,17.8
38869,23.4,30.3,16.2
38868,20.1,29.4,14.5
38867,20.1,25.5,15.6
38866,20.5,26.2,16.4
38865,20.6,25.7,17.9
38864,18.2,20.9,17
38863,19.7,26.1,16.4
38862,18.7,26.7,13.1
38861,20.2,26.5,17.3
38860,22.4,29.2,20.1
38859,22.3,29.2,16.4
38858,18,28.1,12.3
38857,20.4,23,19.2
38856,19.6,21.4,18.2
38855,16.9,21,15
38854,17.6,19.7,14.8
38853,17.5,23.3,14.7
38852,16.2,22.8,9.7
38851,16.1,21.2,14
38850,16.3,22.8,13.4
38849,14.6,21.6,9.2
38848,19.2,24.5,18.1
38847,21.6,26.5,19.4
38846,21.4,27.2,18.3
38845,20.5,26.4,18.2
38844,18.7,25,16
38843,20,25.9,14.3
38842,19.2,25.9,12.8
38841,16.9,23.9,11.8
38840,12.9,21.4,8
38839,20.7,29,14.6
38838,20.4,28.3,13.9
38837,16.5,24.4,11.5
38836,15.5,22.1,10.5
38835,14.1,22,8.4
38834,12.7,18.3,9.1
38833,10.4,16.7,5.2
38832,11.8,19.8,6.7
38831,16.8,20.6,13.5
38830,14.4,20,11.9
38829,10.9,15.7,7.2
38828,10.3,16.9,7.2
38827,16.1,23.1,11.4
38826,16.8,23.8,12.1
38825,12.6,23.3,6.3
38824,9.4,16.4,3.8
38823,10.8,16.1,7.4
38822,10,12.4,8
38821,11.8,17.1,10.1
38820,15.5,17.6,13.6
38819,15.6,17.4,13.9
38818,12.8,15.6,10.9
38817,11.7,16.6,9.6
38816,10.9,18.6,5
38815,13,18.7,7.4
38814,9.2,18.5,4.4
38813,10.3,13.2,4.9
38812,13,20,10.6
38811,11.7,19.8,5.7
38810,12.6,16.3,9.1
38809,10.7,15.2,7.8
38808,5.8,15.1,0.9
38807,3.7,9.7,0.6
38806,4.7,9.2,2.4
38805,7.1,18.9,3.3
38804,13.8,19.1,10
38803,11.2,18.8,5.2
38802,10.5,16.8,6
38801,7.1,15.8,1.4
38800,9.7,15.9,5.3
38799,8.9,15.3,6.4
38798,8,13.8,3.7
38797,7.2,13,2.2
38796,4.8,12.3,0.3
38795,7.8,9,5.9
38794,6.2,10.9,2.2
38793,8.9,10.7,7.2
38792,7.6,12.3,3.6
38791,3.9,11.7,-0.4
38790,2.6,6.6,-0.3
38789,3.9,11.3,0.5
38788,12,17.9,8
38787,11,17.5,8.8
38786,11.4,14.2,9.3
38785,9.5,17.9,3.7
38784,10.1,17.6,4.4
38783,8.7,15.6,3.2
38782,10.1,15.3,7.8
38781,5.7,14.9,0
38780,3.1,10.1,-1
38779,3.9,9.2,0
38778,5,8.3,2.3
38777,6.7,8.4,4.6
38776,3.5,7.1,0
38775,8,13.1,4.2
38774,11.8,16.5,10.4
38773,7,15.5,1.2
38772,5.9,13,1.5
38771,10.8,17.8,8.2
38770,8.9,17.5,4.2
38769,5.4,11.9,3.1
38768,5.3,9.4,2.5
38767,3.9,9,0.4
38766,2.7,9.2,-0.3
38765,7.6,9.7,5.7
38764,9.7,16.7,8
38763,10.7,16.1,6.8
38762,5.6,12.7,-0.1
38761,1.9,11,-2.2
38760,5.1,11.2,2.7
38759,7.1,10.2,5.4
38758,1.7,8.3,-2.2
38757,2.7,9,-0.1
38756,5.2,10.2,1.9
38755,4.9,9.6,1.8
38754,0.7,4.9,-1.4
38753,0.4,3.7,-1.7
38752,0.1,8.5,-3
38751,5.8,10.1,3.6
38750,6.5,10.1,3.5
38749,7.8,10,6.3
38748,7.7,9.4,6
38747,7,11.1,5.2
38746,2.3,10,-2.3
38745,4.3,9.7,1.7
38744,3.2,8.6,0.2
38743,2.7,7.1,-0.8
38742,2.4,6.6,0.1
38741,1.3,4.9,-2.4
38740,1.6,8.4,-1.3
38739,3.8,8,-0.2
38738,3.7,8.3,0.9
38737,2.4,7.7,0.4
38736,3.2,8.2,1.3
38735,4.8,10,2.7
38734,7.7,11.1,4.7
38733,5.7,12.1,0.9
38732,9.5,12.6,6.5
38731,9.5,11.1,8.5
38730,4.7,10.8,0.5
38729,3.8,9.2,-0.1
38728,4.7,9.7,1.3
38727,3,9.2,-1.2
38726,1.8,7,-1.9
38725,0.7,5.8,-2.9
38724,1.8,4.6,-0.2
38723,0.2,4.6,-1.4
38722,3.1,5.7,1.8
38721,3.9,7.3,2.5
38720,5.1,8.9,2.7
38719,5.1,10.3,2.7
38718,3.2,9.8,0.3
38687,8.25,14.35,3.75
38686,8.9,16.6,4.6
38685,12.7,16.9,9.6
38684,11,17.3,6.1
38683,10.7,16.8,6
38682,9.6,15.8,4.4
38681,10,17.3,4.8
38680,10.7,16.9,7.2
38679,9.6,16.3,4.4
38678,8.7,15.1,3.9
38677,8,14.7,2.5
38676,8,13.9,4.8
38675,9.6,14.3,6.8
38674,8.3,14,3.6
38673,7.9,14.3,4.1
38672,10.9,17.2,8
38671,13.4,17.2,10.8
38670,11.5,16.6,8.3
38669,11.5,18.4,6.9
38668,14.5,18,12.2
38667,12.9,19.4,9.1
38666,13.4,18.9,8.4
38665,12.1,20.7,5.8
38664,15,22.5,9.4
38663,17.7,22.1,13.7
38662,17.2,23.3,14.3
38661,16.5,23.2,11.3
38660,16.2,22.7,12.4
38659,16.4,21,13.5
38658,13.4,20.6,7.8
38657,12.4,19.3,7.3
38656,14.2,20.3,8.7
38655,15.2,19.6,11
38654,17,23.1,14.7
38653,15.9,23,10.3
38652,17.1,22.5,12.5
38651,15.7,21.3,10.7
38650,14.3,21.2,9.1
38649,13.8,20.3,9.4
38648,12.2,17.4,9.8
38647,16.6,22.9,14.2
38646,16.1,22.9,10.9
38645,16.4,23.5,11.4
38644,19.1,24.5,14
38643,20,24.1,15.9
38642,18.7,23.8,14.8
38641,20.1,23.3,17.2
38640,22,28.1,19.8
38639,22.7,27.8,20
38638,21.4,27.3,16.4
38637,21.8,26.2,18.7
38636,20.1,23.4,18.6
38635,19.9,26.1,16.8
38634,20.5,25.7,17.7
38633,21.7,25.1,21
38632,21,27.2,17.3
38631,19.9,26.6,16.6
38630,19.6,26.1,18.6
38629,23.5,28.1,20.3
