"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"47759099999","KYOTO, JA","35.0166666","135.7333333","46.5","1945-10-31","  52.9","000000","999.9","  61.3","  57.4","  5.1"," 0.00","9999.9","999.9","999.9","  59.3"," 17.5","  2.3"
"47759099999","KYOTO, JA","35.0166666","135.7333333","46.5","1945-11-01","  46.2","000000","999.9","  64.4","  41.4","  9.9"," 0.00","9999.9","999.9","999.9","  53.4"," 38.7","  3.2"
"47759099999","KYOTO, JA","35.0166666","135.7333333","46.5","1945-11-02","  43.8","000000","999.9","  60.3","  42.4","  8.9"," 0.00","9999.9","999.9","999.9","  51.8"," 22.5","  3.5"
"47759099999","KYOTO, JA","35.0166666","135.7333333","46.5","1945-11-03","  44.9","100000","999.9","  62.4","  47.3","  6.0"," 0.00","9999.9","999.9","999.9","  52.5"," 15.0","  1.8"
"47759099999","KYOTO, JA","35.0166666","135.7333333","46.5","1945-11-04","  42.5","100000","999.9","  57.4","  47.3","  8.0"," 0.00","9999.9","999.9","999.9","  52.3"," 17.4","  2.4"
"47759099999","KYOTO, JA","35.0166666","135.7333333","46.5","1945-11-05","  47.7","000000","999.9","  62.4","  47.3"," 13.0"," 0.00","9999.9","999.9","999.9","  54.7"," 12.8","  6.8"
"47759099999","KYOTO, JA","35.0166666","135.7333333","46.5","1945-11-06","  49.5","010000","999.9","  64.4","  47.3","  9.9","99.99","9999.9","999.9","999.9","  55.8"," 12.0","  1.7"
"47759099999","KYOTO, JA","35.0166666","135.7333333","46.5","1945-11-07","  40.7","110000","999.9","  60.3","  42.4"," 12.0","99.99","9999.9","999.9","999.9","  50.4"," 13.5","  4.6"
"47759099999","KYOTO, JA","35.0166666","135.7333333","46.5","1945-11-08","  39.0","110000","999.9","  53.4","  41.4","  9.9","99.99","9999.9","999.9","999.9","  47.2"," 19.1","  2.0"
"47759099999","KYOTO, JA","35.0166666","135.7333333","46.5","1945-11-09","  41.3","000000","999.9","  58.3","  43.3","  5.1"," 0.00","9999.9","999.9","999.9","  49.6"," 13.5","  1.1"
