date,tmin,tmax,tavg,year,month,season,day,diff
18629,2.6,7.9,5.25,1951,1,Winter,1,8.150787075
18630,-2.4,6.9,2.25,1951,1,Winter,2,7.805302403
18631,-6.6,8.5,0.95,1951,1,Winter,3,8.726014913
18632,-3,5.1,1.05,1951,1,Winter,4,8.386164043
18633,2.8,7.4,5.1,1951,1,Winter,5,7.846313173
18634,-3,8.9,2.95,1951,1,Winter,6,8.267025684
18635,2.6,6.7,4.65,1951,1,Winter,7,8.237033969
18636,-1.2,11.1,4.95,1951,1,Winter,8,8.278403756
18637,-1.4,10.6,4.6,1951,1,Winter,9,9.126525822
18638,5.1,8.5,9.35,1951,1,Winter,10,8.41971831
18639,8.4,9.6,9,1951,1,Winter,11,7.898571429
18640,1.2,8.5,4.85,1951,1,Winter,12,7.697652582
18641,-3.4,3.4,0,1951,1,Winter,13,8.450704225
18642,-3.4,4.1,0.35,1951,1,Winter,14,7.929577465
18643,-3.4,7,1.8,1951,1,Winter,15,8.094366197
18644,-9.2,9.1,-0.05,1951,1,Winter,16,8.770422535
18645,-5.4,11.1,2.85,1951,1,Winter,17,9.109859155
18646,-1.8,12.3,5.25,1951,1,Winter,18,8.858215962
18647,3.8,7.7,5.75,1951,1,Winter,19,8.243661972
18648,8.6,12.3,10.45,1951,1,Winter,20,8.899061033
18649,-5.2,4.3,-0.45,1951,1,Winter,21,9.01971831
18650,-7.2,3.5,-1.85,1951,1,Winter,22,8.009859155
18651,-10.8,6.9,-1.95,1951,1,Winter,23,8.279285714
18652,3.2,9.4,6.3,1951,1,Winter,24,7.936619718
18653,2.4,9.5,5.95,1951,1,Winter,25,8.921126761
18654,-1,7.5,3.25,1951,1,Winter,26,9.190140845
18655,-0.6,8.1,3.75,1951,1,Winter,27,9.432394366
18656,-5.8,9.9,2.05,1951,1,Winter,28,9.373239437
18657,-5.6,12.7,3.55,1951,1,Winter,29,8.314084507
18658,-3,12.3,4.65,1951,1,Winter,30,8.247887324
18659,1,12.2,6.6,1951,1,Winter,31,9.207042254
18660,-1,13.5,6.25,1951,2,Winter,1,8.869014085
18661,-6,14.3,4.15,1951,2,Winter,2,9.066197183
18662,-1.4,5.4,2,1951,2,Winter,3,8.992957746
18663,-4.6,4.5,-0.05,1951,2,Winter,4,9.276056338
18664,-6.8,6,-0.4,1951,2,Winter,5,8.654929577
18665,-7.2,3.1,-2.05,1951,2,Winter,6,9.264788732
18666,-3.6,6.7,1.55,1951,2,Winter,7,9.285915493
18667,-4.8,8.7,1.95,1951,2,Winter,8,9.426760563
18668,4.6,9.1,6.85,1951,2,Winter,9,8.411267606
18669,3.4,12.7,8.05,1951,2,Winter,10,8.428873239
18670,-1.2,6.7,2.75,1951,2,Winter,11,8.484976526
18671,-5.8,8.1,1.15,1951,2,Winter,12,9.279107981
18672,-0.4,7.1,3.35,1951,2,Winter,13,8.835714286
18673,-3.4,3.4,0,1951,2,Winter,14,8.925714286
18674,2.2,5.7,3.95,1951,2,Winter,15,8.955
18675,-0.8,5.5,2.35,1951,2,Winter,16,8.634285714
