"restab.year","restab.chill_days","restab.heat_days"
1954,"69","125"
1955,"89","113"
1956,"92","107"
1957,"79","96"
1958,"82","122"
1959,"101","79"
1960,"83","101"
1961,"104","68"
1962,"108","97"
1963,"120","86"
1964,"134","69"
1965,"103","101"
1966,"114","75"
1967,"86","95"
1968,"99","101"
1969,"110","99"
1970,"120","95"
1971,"117","82"
1972,"88","100"
1973,"74","139"
1974,"75","106"
1975,"82","116"
1976,"94","100"
1977,"114","62"
1978,"110","95"
1979,"116","88"
1980,"88","110"
1981,"96","93"
1982,"78","120"
1983,"105","94"
1984,"99","107"
1985,"116","85"
1986,"94","115"
1987,"117","88"
1988,"106","94"
1989,"92","89"
1990,"115","52"
1991,"112","77"
1992,"92","101"
1993,"111","83"
1994,"118","63"
1995,"127","62"
1996,"104","99"
1997,"121","52"
1998,"90","81"
1999,"92","94"
2000,"99","84"
2001,"120","65"
2002,"109","59"
2003,"146","38"
2004,"84","103"
2005,"95","91"
2006,"113","91"
2007,"114","69"
2008,"97","81"
2009,"108","85"
2010,"106","86"
2011,"111","73"
2012,"90","88"
2013,"104","100"
2014,"90","81"
2017,"78","97"
2018,"86","102"
2019,"99","76"
2020,"93","73"
2021,"101","79"
