Location,Hardiness Zone,Hardiness Zone Range
Aarau,Zone 8a,-12.2°C to -9.4°C
Altstatten,Zone 8a,-12.2°C to -9.4°C
Amriswil,Zone 8b,-9.4°C to -6.7°C
Arbon,Zone 8a,-12.2°C to -9.4°C
Basel,Zone 8a,-12.2°C to -9.4°C
Bellinzona,Zone 8a,-12.2°C to -9.4°C
Bern,Zone 7b,-15°C to -12.2°C
Biel,Zone 8a,-12.2°C to -9.4°C
Buchs,Zone 7b,-15°C to -12.2°C
Bulach,Zone 7b,-15°C to -12.2°C
Burgdorf,Zone 7b,-15°C to -12.2°C
Chur,Zone 7b,-15°C to -12.2°C
Davos,Zone 6b,-20.6°C to -17.8°C
Delemont,Zone 8a,-12.2°C to -9.4°C
Ecublens,Zone 8b,-9.4°C to -6.7°C
Einsiedeln,Zone 8a,-12.2°C to -9.4°C
Frauenfeld,Zone 7b,-15°C to -12.2°C
Freienbach,Zone 8a,-12.2°C to -9.4°C
Fribourg,Zone 7b,-15°C to -12.2°C
Geneva,Zone 8a,-12.2°C to -9.4°C
Geneve,Zone 8a,-12.2°C to -9.4°C
Herisau,Zone 8a,-12.2°C to -9.4°C
Lausanne,Zone 8b,-9.4°C to -6.7°C
Liestal,Zone 7a,-17.8°C to -15°C
Lugano,Zone 8b,-9.4°C to -6.7°C
Luzern,Zone 8a,-12.2°C to -9.4°C
Mattenbach,Zone 8a,-12.2°C to -9.4°C
Monthey,Zone 8a,-12.2°C to -9.4°C
Neuchatel,Zone 8b,-9.4°C to -6.7°C
Sankt Gallen,Zone 7b,-15°C to -12.2°C
Schaffhausen,Zone 7b,-15°C to -12.2°C
Schwyz,Zone 8a,-12.2°C to -9.4°C
Sierre,Zone 7b,-15°C to -12.2°C
Sion,Zone 8a,-12.2°C to -9.4°C
Solothurn,Zone 8a,-12.2°C to -9.4°C
Thun,Zone 7b,-15°C to -12.2°C
Wetzikon,Zone 8a,-12.2°C to -9.4°C
Wil,Zone 8a,-12.2°C to -9.4°C
Yverdon-les-Bains,Zone 7a,-17.8°C to -15°C
Zofingen,Zone 8a,-12.2°C to -9.4°C
Zug,Zone 8a,-12.2°C to -9.4°C
Zurich,Zone 8a,-12.2°C to -9.4°C
