location,lat,long,alt
SOKCHO,38.25085,128.56472,18.06
DAEGWALLYEONG,37.67713,128.71833,772.57
CHUNCHEON,37.90256,127.7357,76.47
GANGNEUNG,37.75147,128.89098,26.04
SEOUL,37.57142,126.9658,85.67
INCHEON,37.47772,126.6249,68.99
WONJU,37.33756,127.9466,148.6
ULLEUNGDO,37.48129,130.89864,222.4
SUWON,37.27226,126.98533,34.84
CHUNGJU,36.97038,127.95266,116.3
SEOSAN,36.77661,126.49391,25.86
ULJIN,36.99176,129.41278,50
CHEONGJU,36.63924,127.44066,58.7
DAEJEON,36.372,127.37212,68.9
CHUPUNGNYEONG,36.22023,127.99457,243.7
POHANG,36.03201,129.38002,3.94
GUNSAN,36.0053,126.76135,23.2
DAEGU,35.87797,128.65295,53.5
JEONJU,35.8408,127.119,61.4
ULSAN,35.5825,129.3347222,82
GWANGJU,35.17294,126.89158,72.38
BUSAN,35.10468,129.03203,69.56
TONGYEONG,34.84546,128.4356,32.3
MOKPO,34.81689,126.38121,38
YEOSU,34.73929,127.74064,64.64
WANDO,34.39587,126.70184,35.24
JEJU,33.51411,126.52968,20.45
SEONGSAN,33.38677,126.8802,20.34
SEOGWIPO,33.24613,126.56534,49.03
JINJU,35.16379,128.04002,30.21
GANGHWA,37.70739,126.44634,47.84
YANGPYEONG,37.48863,127.49446,47.26
ICHEON,37.26399,127.48421,80.09
INJE,38.05987,128.16713,200.16
HONGCHEON,37.68358,127.8804,139.95
JECHEON,37.15927,128.19431,259.8
BOEUN,36.48759,127.73412,174.99
CHEONAN,36.7624,127.2927,81.5
BORYEONG,36.32724,126.55744,9.98
BUYEO,36.27242,126.92079,11.79
GEUMSAN,36.1027,127.4817,170.34
BUAN,35.72954,126.71655,11.96
IMSIL,35.61203,127.28556,247.04
JEONGEUP,35.56306,126.83917,69.84
JANGHEUNG,34.68875,126.91949,45.02
HAENAM,34.55375,126.56907,16.36
GOHEUNG,34.61826,127.27572,51.91
YEONGJU,36.87188,128.51696,210.79
MUNGYEONG,36.62727,128.148,170.61
YEONGDEOK,36.53331,129.40936,40.61
UISEONG,36.35611,128.688,81.81
GUMI,36.13,128.32,48.88
YEONGCHEON,35.97743,128.95141,93.8
GEOCHANG,35.6674,127.909,225.95
HAPCHEON,35.56503,128.16986,32
MIRYANG,35.49148,128.7441,11.21
SANCHEONG,35.41299,127.8791,138.07
GEOJE,34.88818,128.60453,45.4
NAMHAE,34.81662,127.92641,45.71
