STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DEWP,DEWP_ATTRIBUTES,FRSHTT,FRSHTT_ATTRIBUTES,GUST,GUST_ATTRIBUTES,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,MXSPD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,SNDP_ATTRIBUTES,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES
6641099999,"MOEHLIN, SZ",47.5833333,7.8833333,340,2/1/2011,9999.9,0,0,,999.9,,27.3, ,24.6,*,6,,0,G,1029.3,24,999.9,,985.6,24,26.2,24,999.9,0,2.6,24
6641099999,"MOEHLIN, SZ",47.5833333,7.8833333,340,2/2/2011,9999.9,0,0,,999.9,,30.6, ,25,*,11.1,,0,I,1033.3,24,999.9,,989.5,24,27.8,24,999.9,0,4.2,24
6641099999,"MOEHLIN, SZ",47.5833333,7.8833333,340,2/3/2011,9999.9,0,0,,999.9,,34.9, ,20.3, ,4.1,,0,G,1033.2,24,999.9,,989.5,24,28.7,24,999.9,0,1.3,24
6641099999,"MOEHLIN, SZ",47.5833333,7.8833333,340,2/4/2011,9999.9,0,0,,999.9,,46.4, ,32.2,*,9.9,,0.02,G,1033,24,999.9,,990.3,24,39.5,24,999.9,0,4,24
6641099999,"MOEHLIN, SZ",47.5833333,7.8833333,340,2/5/2011,9999.9,0,0,,999.9,,50.9, ,34.7,*,11.1,,0,G,1032.9,24,999.9,,990.6,24,44.4,24,999.9,0,5.7,24
6641099999,"MOEHLIN, SZ",47.5833333,7.8833333,340,2/6/2011,9999.9,0,0,,999.9,,52.7, ,29.5,*,7,,0,G,1031.7,24,999.9,,988.8,24,38.2,24,999.9,0,3.2,24
6641099999,"MOEHLIN, SZ",47.5833333,7.8833333,340,2/7/2011,9999.9,0,0,,999.9,,53.1, ,29.5, ,13,,0,G,1026.3,24,999.9,,983.7,24,37.9,24,999.9,0,6.4,24
6641099999,"MOEHLIN, SZ",47.5833333,7.8833333,340,2/8/2011,9999.9,0,0,,999.9,,53.2, ,27.7,*,4.1,,0,G,1025.1,24,999.9,,982.5,24,37.4,24,999.9,0,2.2,24
6641099999,"MOEHLIN, SZ",47.5833333,7.8833333,340,2/9/2011,9999.9,0,0,,999.9,,41.4, ,27.5, ,15.9,,0,G,1024.4,23,999.9,,981.6,23,34.3,23,999.9,0,7.3,23
6641099999,"MOEHLIN, SZ",47.5833333,7.8833333,340,2/10/2011,9999.9,0,0,,999.9,,49.6, ,30, ,13,,0,G,1023.8,24,999.9,,981.2,24,37.3,24,999.9,0,6.9,24
6641099999,"MOEHLIN, SZ",47.5833333,7.8833333,340,2/11/2011,9999.9,0,0,,999.9,,57.6, ,36.5, ,8.9,,0,G,1019.4,24,999.9,,977.6,24,44.1,24,999.9,0,4,24
6641099999,"MOEHLIN, SZ",47.5833333,7.8833333,340,2/12/2011,9999.9,0,0,,999.9,,54.9, ,30.2, ,7,,0,G,1017.8,24,999.9,,975.9,24,41.1,24,999.9,0,2.3,24
