location,lat,long,alt
ENGES,47.056436,7.012192,820
FIESCH,46.400261,8.127792,1100
LIDDES,45.988267,7.180528,1350
LES PONTS-DE-MARTEL,47.002858,6.728592,1120
ORVIN,47.157753,7.214464,700
POSIEUX,46.761672,7.098294,680
SCHIERS,46.965036,9.685814,800
SEEWIS DORF,46.965358,9.632064,960
TRIENT,46.048003,6.993797,1300
VALLORBE,46.712292,6.379286,850
ZOFINGEN,47.291794,7.941003,440
BIEL,47.151194,7.254139,490
FLAWIL,47.415283,9.182167,630
LIESTAL,47.481403,7.730519,350
MURG,47.108222,9.217372,500
RAFZ,47.620414,8.542733,515
SEON,47.338319,8.153353,550
VERSOIX,46.290431,6.137128,440
"WATTWIL, SG",47.289853,9.104422,625
WILIBERG,47.279603,8.027331,650
ZüRICH-ALBISGüETLI,47.350869,8.510678,530
ANDEER,46.600961,9.422614,985
ORBE / BOCHUZ,46.722633,6.536061,485
SIMPLON-DORF,46.195022,8.056794,1475
CARTIGNY,46.177483,6.014089,400
COUVET,46.9213,6.637761,750
SARNEN,46.894217,8.252236,500
"WALD, ZH",47.277122,8.916314,620
L'ABERGEMENT,46.756178,6.490211,660
AURIGENO,46.236078,8.725292,350
BRUSIO-PIAZZO,46.265447,10.115375,850
DISENTIS,46.699461,8.850803,1200
ESCHOLZMATT,46.898653,7.932344,910
ELM,46.921942,9.172731,1000
GADMEN,46.736853,8.351842,1205
GRYON,46.274817,7.065661,1100
LE LOCLE,47.047992,6.754314,1020
MEIRINGEN I,46.75275,8.137867,900
MöHLIN,47.561983,7.850547,305
SARGANS II,47.050589,9.439256,480
THUSIS,46.709511,9.44165,700
VALS,46.622889,9.182461,1250
VERGELETTO,46.225417,8.605172,1100
LA VALSAINTE,46.648728,7.182475,1050
WäDENSWIL,47.223239,8.679778,480
ZüRICH-METEOSCHWEIZ,47.378142,8.565853,555
BAUMA,47.364822,8.881672,640
LES PLANS-SUR-BEX,46.256639,7.092033,1100
PRATO-SORNICO,46.394025,8.655608,750
ENTLEBUCH,46.987397,8.068953,765
ZWEISIMMEN,46.555264,7.373433,965
LONGIROD,46.498772,6.26595,900
MERISHAUSEN,47.763636,8.612414,540
SIHLBRUGG,47.219356,8.5767,480
CHUR,46.868244,9.5419,640
OESCHBERG,47.126578,7.613264,485
GROSSDIETWIL,47.166089,7.887067,610
MOUTIER,47.279386,7.385775,530
DAVOS-DORF,46.808986,9.836586,1560
ADELBODEN,46.492022,7.561067,1350
CHANGINS,46.395917,6.229419,435
BASEL-BINNINGEN,47.548594,7.582372,315
CEVIO-CAVERGNO,46.315447,8.598925,430
HORGEN,47.265269,8.582169,450
LOCARNO,46.169278,8.798214,200
MOUDON,46.646331,6.777689,600
WINTERTHUR,47.474228,8.795444,580
ZüRICH-WITIKON,47.3591,8.590272,620
LES DIABLERETS,46.355131,7.118014,1100
LEYSIN,46.340108,7.009622,1250
CERNIER,47.098392,6.986644,900
HERZOGENBUCHSEE,47.18465,7.702511,450
APPENZELL,47.331994,9.415403,775
BONDO GR,46.337594,9.555908,825
DOMAT / EMS,46.834311,9.457442,580
FANAS,46.983531,9.660289,910
GRüSCH,46.983786,9.64715,650
JENAZ,46.928553,9.710558,800
LAUFENBURG,47.561031,8.063136,330
LINTHAL,46.915883,8.993658,695
NäFELS,47.092389,9.071936,440
SCHöNENWERD,47.365283,7.999019,450
SENT,46.815436,10.335078,1440
ST. LUC,46.222336,7.594153,1650
STAMPA,46.34585,9.595214,1000
VILLNACHERN,47.470556,8.154928,415
WYNAU,47.256317,7.808556,450
DIESSENHOFEN,47.690281,8.744,410
EDLIBACH,47.179358,8.573208,750
ZIZERS,46.931325,9.566175,600
ESCHEN-BOJA,47.218989,9.520044,580
NEUHAUSEN,47.681939,8.615533,435
DöTTINGEN,47.568867,8.249947,350
EINSIEDELN,47.131972,8.748844,910
HEIDEN,47.442925,9.533178,800
LUZERN,47.062769,8.342442,580
"MURI, AG",47.265317,8.332283,550
OBEREHRENDINGEN,47.481914,8.332208,490
VIRA / GAMBAROGNO,46.148775,8.848836,210
ALTDORF,46.872614,8.658569,470
LEYTRON,46.18625,7.21845,480
MARTINA,46.884997,10.464608,1050
MORGINS VS,46.2415,6.850589,1380
OSTERFINGEN,47.656878,8.490242,410
RORSCHACH,47.472492,9.494931,450
OBERLANGENEGG,46.808222,7.716267,910
OLIVONE,46.527333,8.932936,894
LES RANGIERS,47.381992,7.215775,865
ROMANSHORN,47.563608,9.376172,405
HALLAU,47.698183,8.457489,430
"STEIN, AR II",47.381969,9.348772,825
AZMOOS,47.076869,9.479753,480
CHARDONNE,46.474036,6.835272,500
BIRMENSDORF,47.342472,8.444342,500
WORB BE,46.924433,7.577772,600
GUNDETSWIL,47.536489,8.819919,460
SCUOL,46.794394,10.296356,1240
SAGNO TI,45.857811,9.033789,670
BLONAY,46.464014,6.891869,600
ESTAVAYER-LE-LAC,46.841619,6.848706,450
COMPROVASCO / MOTTO,46.442531,8.950197,500
BELLELAY,47.265314,7.165786,930
LOCARNO-MONTI,46.172556,8.787417,370
FRAUENFELD,47.560647,8.887883,405
HARD B. WEINFELDEN,47.567569,9.125747,450
HöFEN,46.717125,7.569428,720
LANTERSWIL,47.514847,9.098194,570
"RAPERSWILEN, TG",47.632486,9.048642,595
SILENEN,46.782531,8.669625,510
VISP,46.293494,7.892842,650
"WIL, SG",47.461458,9.056733,600
WOLHUSEN,47.064342,8.071028,580
WENGEN,46.603731,7.921556,1300
WETZIKON,47.320664,8.814333,555
CHAUMONT,47.049108,6.978031,1150
LE SéPEY,46.365406,7.065819,1265
LA BRéVINE,46.982014,6.599133,1050
DORNACH,47.481642,7.611114,300
STA. MARIA (VAL MUSTAIR),46.603092,10.421956,1390
BUCHS,47.158028,9.469656,450
WILDHAUS,47.205022,9.352617,1100
BOUDRY,46.949492,6.834386,450
GRELLINGEN,47.441186,7.597728,350
GSTAAD,46.438214,7.269478,1100
THERWIL,47.499697,7.558086,310
HOCHDORF,47.166514,8.28935,490
SEEWIL,47.048228,7.409689,560
UNTERSEEN,46.684958,7.854311,565
JEGENSTORF II,47.049108,7.507072,525
RANCATE,45.870208,8.967242,353
ALCHENFLüH ,47.079619,7.5848,513
LANGNAU I.E.,46.939633,7.806425,744
NEUCHâTEL,47.000444,6.935714,550
BALLENS,46.554378,6.374472,700
OSOGNA,46.311967,8.987064,276
RIED / FRUTIGEN,46.570078,7.619381,1090
FAIDO,46.477881,8.800878,715
PAYERNE,46.811581,6.942469,490
"REINACH, BL",47.493131,7.589494,303
MUGENA,46.046497,8.888964,784
ECHANDENS,46.537211,6.543094,422
