STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES
CA001108447,1/1/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,39,",,C",-61,",,C",,
CA001108447,1/2/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,0,",,C",-56,",,C",,
CA001108447,1/3/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,61,",,C",-17,",,C",,
CA001108447,1/4/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,50,",,C",-44,",,C",,
CA001108447,1/5/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,-11,",,C",-111,",,C",,
CA001108447,1/6/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,-28,",,C",-83,",,C",,
CA001108447,1/7/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,0,",,C",-83,",,C",,
CA001108447,1/8/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,-11,",,C",-44,",,C",,
CA001108447,1/9/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,11,",,C",-78,",,C",,
CA001108447,1/10/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,33,",,C",-111,",,C",,
CA001108447,1/11/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,17,",,C",-106,",,C",,
CA001108447,1/12/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,0,",,C",-61,",,C",,
CA001108447,1/13/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,28,",,C",-56,",,C",,
CA001108447,1/14/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,6,",,C",-28,",,C",,
CA001108447,1/15/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,-11,",,C",-144,",,C",,
CA001108447,1/16/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,-11,",,C",-78,",,C",,
CA001108447,1/17/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,11,",,C",-100,",,C",,
CA001108447,1/18/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,17,",,C",-161,",,C",,
CA001108447,1/19/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,-50,",,C",-150,",,C",,
CA001108447,1/20/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,-44,",,C",-89,",,C",,
CA001108447,1/21/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,-28,",,C",-56,",,C",,
CA001108447,1/22/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,-6,",,C",-28,",,C",,
CA001108447,1/23/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,6,",,C",-133,",,C",,
CA001108447,1/24/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,22,",,C",-78,",,C",,
CA001108447,1/25/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,50,",,C",-28,",,C",,
CA001108447,1/26/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,33,",,C",-11,",,C",,
CA001108447,1/27/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,50,",,C",-61,",,C",,
CA001108447,1/28/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,-6,",,C",-144,",,C",,
CA001108447,1/29/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,-17,",,C",-117,",,C",,
CA001108447,1/30/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,-11,",,C",-111,",,C",,
CA001108447,1/31/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,-17,",,C",-78,",,C",,
CA001108447,2/1/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,11,",,C",-39,",,C",,
CA001108447,2/2/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,56,",,C",-17,",,C",,
CA001108447,2/3/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,0,",,C",-22,",,C",,
CA001108447,2/4/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,28,",,C",-11,",,C",,
CA001108447,2/5/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,11,",,C",-22,",,C",,
CA001108447,2/6/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,22,",,C",-39,",,C",,
CA001108447,2/7/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,-6,",,C",-78,",,C",,
CA001108447,2/8/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,0,",,C",-56,",,C",,
CA001108447,2/9/1937,49.2,-123.1833,4,"VANCOUVER INTERNATIONAL A, BC CA",,,,,,,39,",,C",0,",,C",,
