"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA001108380","2013-04-25","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  173",",,C","   59",",,C",,,,,,
"CA001108380","2013-04-26","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  156",",,C","   70",",,C",,,,,,
"CA001108380","2013-04-27","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   20",",,C","  131",",,C","   88",",,C",,,,,,
"CA001108380","2013-04-28","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  143",",,C","   74",",,C",,,,,,
"CA001108380","2013-04-29","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  114",",,C","   73",",,C",,,,,,
"CA001108380","2013-04-30","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  123",",,C","   29",",,C",,,,,,
"CA001108380","2013-05-01","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  142",",,C","   18",",,C",,,,,,
"CA001108380","2013-05-02","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  128",",,C","   61",",,C",,,,,,
"CA001108380","2013-05-03","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  159",",,C","   65",",,C",,,,,,
"CA001108380","2013-05-04","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  176",",,C","   96",",,C",,,,,,
"CA001108380","2013-05-05","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  200",",,C","   97",",,C",,,,,,
"CA001108380","2013-05-06","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  212",",,C","   92",",,C",,,,,,
"CA001108380","2013-05-07","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  204",",,C","  102",",,C",,,,,,
"CA001108380","2013-05-08","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  181",",,C","  112",",,C",,,,,,
"CA001108380","2013-05-09","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  180",",,C","   93",",,C",,,,,,
"CA001108380","2013-05-10","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  192",",,C","  102",",,C",,,,,,
"CA001108380","2013-05-11","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   46",",,C","  221",",,C","  121",",,C",,,,,,
"CA001108380","2013-05-12","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","  105",",,C","  184",",,C","  128",",,C",,,,,,
"CA001108380","2013-05-13","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   16",",,C","  168",",,C","  108",",,C",,,,,,
"CA001108380","2013-05-14","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  170",",,C","   77",",,C",,,,,,
